comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v6_rank,baseline_market,candidate_v2_market,candidate_v6_market,candidate_v6_action,candidate_v6_alignment,baseline_result,candidate_v2_result,candidate_v6_result,baseline_profit_units,candidate_v2_profit_units,candidate_v6_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BASELINE+CANDIDATE_V2+CANDIDATE_V6,1535300,Coquimbo Unido vs Deportes Tolima,CONMEBOL Libertadores,2,2,2,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,NEUTRAL,PENDING,PENDING,PENDING,,,,2026-05-19,2026-05-19T10:50:44+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-19-20260519T105044Z
BASELINE+CANDIDATE_V2+CANDIDATE_V6,1544951,Monza vs Juve Stabia,Serie B,1,1,1,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,NEUTRAL,PENDING,PENDING,PENDING,,,,2026-05-19,2026-05-19T10:50:44+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-19-20260519T105044Z
