summary_scope,rows_processed,home_full_or_partial,away_full_or_partial,avg_home_opponent_strength,avg_away_opponent_strength,standings_api_calls,standings_cache_hits,standings_errors,generated_at_utc,flag,rows
overall,21.0,21.0,20.0,0.557,0.571,1.0,209.0,0.0,2026-05-13T13:56:25.192610+00:00,,
home_quality_flag,,,,,,,,,,PARTIAL,11.0
home_quality_flag,,,,,,,,,,FULL,10.0
away_quality_flag,,,,,,,,,,FULL,10.0
away_quality_flag,,,,,,,,,,PARTIAL,10.0
away_quality_flag,,,,,,,,,,SPARSE,1.0
