market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,3.0,3.0,0.0,3.0,0.0,0.0,-3.0,0.392,by_market_primary,,
BTTS_YES,3.0,3.0,1.0,2.0,0.0,0.3333,-0.8,0.1955,by_market_primary,,
HOME_WIN,2.0,2.0,1.0,1.0,0.0,0.5,-0.25,0.2533,by_market_primary,,
OVER_1_5,1.0,1.0,1.0,0.0,0.0,1.0,0.4,0.1023,by_market_primary,,
UNDER_3_5,1.0,1.0,1.0,0.0,0.0,1.0,0.62,0.0441,by_market_primary,,
,1.0,1.0,1.0,0.0,0.0,1.0,0.62,0.0441,by_edge_floor_band,PLAYABLE,
,9.0,9.0,3.0,6.0,0.0,0.3333,-3.65,0.2635,by_edge_floor_band,STRONG,
,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.409,by_execution_verdict,,CORE_SHORTLIST
,9.0,9.0,4.0,5.0,0.0,0.4444,-2.03,0.2229,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,3.0,3.0,1.0,2.0,0.0,0.3333,-0.8,0.3129,actionable_summary,,
