group_type,group_key,market_primary,accuracy_mode_bucket,sample_size,wins,losses,raw_avg_predicted_probability,empirical_hit_rate,calibration_adjustment,calibrated_avg_probability,min_sample_size,usable_for_lookup,calibration_note
MARKET_BUCKET,AWAY_WIN|ACCURACY_CORE,AWAY_WIN,ACCURACY_CORE,1,1,0,0.891,1.0,0.0,0.891,3,0,THIN_SAMPLE_NOT_USED
MARKET_BUCKET,OVER_1_5|ACCURACY_CORE,OVER_1_5,ACCURACY_CORE,5,4,1,0.86764,0.8,-0.06764,0.8,3,1,USABLE
MARKET_BUCKET,OVER_1_5|ACCURACY_EXTENDED_STRONG,OVER_1_5,ACCURACY_EXTENDED_STRONG,2,1,1,0.914,0.5,0.0,0.914,3,0,THIN_SAMPLE_NOT_USED
MARKET_BUCKET,OVER_2_5|ACCURACY_CORE,OVER_2_5,ACCURACY_CORE,2,2,0,0.8169,1.0,0.0,0.8169,3,0,THIN_SAMPLE_NOT_USED
MARKET,AWAY_WIN,AWAY_WIN,,1,1,0,0.891,1.0,0.0,0.891,4,0,THIN_SAMPLE_NOT_USED
MARKET,OVER_1_5,OVER_1_5,,7,5,2,0.880886,0.714286,-0.08,0.800886,4,1,USABLE
MARKET,OVER_2_5,OVER_2_5,,2,2,0,0.8169,1.0,0.0,0.8169,4,0,THIN_SAMPLE_NOT_USED
BUCKET,ACCURACY_CORE,,ACCURACY_CORE,8,7,1,0.857875,0.875,0.017125,0.875,4,1,USABLE
BUCKET,ACCURACY_EXTENDED_STRONG,,ACCURACY_EXTENDED_STRONG,2,1,1,0.914,0.5,0.0,0.914,4,0,THIN_SAMPLE_NOT_USED
GLOBAL,COMPETITION_GLOBAL,,,10,8,2,0.8691,0.8,-0.05,0.8191,6,1,USABLE
