country,league,league_tier,league_filter_reason,matches
Brazil,Carioca C,REJECT,country_league_not_allowlisted,4
USA,USL League Two,REJECT,country_league_not_allowlisted,4
World,Friendlies Clubs,REJECT,hard_reject_noise_league,4
Argentina,Primera C,REJECT,country_league_not_allowlisted,3
Argentina,Torneo Promocional Amateur,REJECT,hard_reject_noise_league,2
Paraguay,Division Intermedia,REJECT,country_league_not_allowlisted,2
Brazil,Catarinense U20,REJECT,hard_reject_noise_league,1
Ecuador,Liga Pro,REJECT,country_league_not_allowlisted,1
Iceland,Úrvalsdeild,REJECT,country_league_not_allowlisted,1
Kyrgyzstan,Premier League,REJECT,country_league_not_allowlisted,1
Latvia,Virsliga,REJECT,country_league_not_allowlisted,1
Uruguay,Segunda División,REJECT,country_league_not_allowlisted,1
World,World Cup,REJECT,country_league_not_allowlisted,1
Sweden,Allsvenskan,TIER_2,sweden_allsvenskan,2
Brazil,Serie B,TIER_3,brazil_serie_b_noisy,2
Brazil,Serie C,TIER_3,brazil_serie_c_noisy,1
Lithuania,A Lyga,TIER_3,lithuania_a_lyga_noisy,1
