fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1492257,Remo,Palmeiras,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,88.21,A_ANALIZAR_PRIMERO,
1492255,Gremio,Flamengo,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,87.2,A_ANALIZAR_PRIMERO,
1490278,New York City FC,Columbus Crew,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,82.02,A_ANALIZAR_PRIMERO,
1492258,Santos,RB Bragantino,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,81.77,A_ANALIZAR_PRIMERO,
1492256,Mirassol,Chapecoense-sc,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,77.03,A_ANALIZAR_PRIMERO,
1492252,Corinthians,Sao Paulo,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,74.91,A_ANALIZAR_PRIMERO,
1543078,Vancouver FC,Langley United Sa,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520671,Avai,Fortaleza EC,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520678,Novorizontino,Botafogo SP,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1526807,Brusque,Ypiranga-RS,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1526810,Ituano,Confiança,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
