date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,recent_stats_process_score,team_edge_score,team_edge_raw,home_goal_path_score,away_goal_path_score,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_absences,away_absences,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,data_enrichment_level
2026-05-10,Brazil,Serie A,TIER_2,1492257,Remo,Palmeiras,PST,88.21,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.88,16.43,3.6,16.0,-19.11,11.94,17.49,16.0,4.0,1.0,1.0,FULL,FULL,13.2,4.0,HIGH,HIGH,FULL,17.2,0.0,0.1,16.0,4.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-88.28,0.0,1.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,0.22,0.22,0.45,0.45,0.335,0.0,0.0,19.0,1.0,11.0,33.0,-9.0,13.0,1.0,1.0,1.625,2.25,1.5,1.375,1.375,0.375,0.875,0.875,0.125,0.625,0.75,0.375,0.75,0.625,0.625,0.25,8.0,8.0,4.0,5.0,0.8,1.0,11.75,19.4,12.5,12.8,4.5,4.6,6.25,3.4,42.5,57.4,3.25,8.0,5.25,4.8,11.5,12.8,1.0,1.4,1.5,2.2,3.25,6.6,PARTIAL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Brazil,Serie A,TIER_2,1492255,Gremio,Flamengo,NS,87.2,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.34,15.96,4.0,16.0,-17.53,10.62,16.42,16.0,8.0,1.0,1.0,FULL,FULL,13.6,7.6,HIGH,HIGH,FULL,21.2,0.0,0.1,16.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,121.72,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,15.0,2.0,17.0,27.0,-1.0,14.0,0.5,1.0,1.875,2.5,0.875,2.375,0.25,0.75,0.5,1.0,0.875,0.375,0.0,0.625,0.375,1.0,0.125,0.625,8.0,8.0,5.0,5.0,1.0,1.0,14.6,13.8,10.6,14.0,4.0,7.0,2.6,5.0,59.6,51.8,4.6,4.0,3.4,4.8,12.8,12.0,2.0,2.0,2.2,0.6,4.2,3.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,USA,Major League Soccer,TIER_2,1490278,New York City FC,Columbus Crew,NS,82.02,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,2.04,19.53,3.2,9.55,-8.68,15.02,19.97,8.0,6.0,1.0,1.0,FULL,FULL,8.0,5.2,HIGH,HIGH,FULL,13.2,0.0,0.1,8.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,1.72,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,11.0,12.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,1.75,2.25,1.875,1.125,0.625,1.0,0.0,0.25,0.625,0.75,0.875,1.0,0.5,0.75,8.0,8.0,4.0,4.0,0.8,0.8,13.25,11.25,11.25,9.5,5.5,4.0,5.5,3.25,64.0,57.75,3.75,4.25,2.75,3.5,9.75,11.5,1.75,1.5,3.5,1.0,2.75,3.25,PARTIAL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Brazil,Serie A,TIER_2,1492258,Santos,RB Bragantino,NS,81.77,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,2.23,17.93,4.0,10.71,-9.74,14.63,18.42,12.0,12.0,1.0,1.0,FULL,FULL,10.0,11.6,HIGH,HIGH,FULL,21.6,0.0,0.1,12.0,12.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,61.72,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,16.0,7.0,15.0,20.0,-3.0,1.0,0.5,0.0,1.125,1.625,1.125,2.125,1.125,1.25,0.875,0.75,0.25,0.125,0.75,0.625,0.75,0.75,0.25,0.625,8.0,8.0,5.0,5.0,1.0,1.0,12.8,15.4,13.8,11.0,3.2,6.6,3.4,3.8,51.2,52.4,4.6,4.6,5.4,4.2,10.0,12.2,2.2,2.8,1.8,1.0,4.8,2.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Brazil,Serie A,TIER_2,1492256,Mirassol,Chapecoense-sc,NS,77.03,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,3.37,13.75,2.45,9.01,8.19,15.72,9.96,8.0,8.0,1.0,1.0,FULL,FULL,7.2,6.8,HIGH,HIGH,FULL,14.0,0.0,0.1,8.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,61.72,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,18.0,20.0,12.0,8.0,-4.0,-13.0,1.0,1.0,1.625,0.875,1.125,0.875,1.0,1.625,0.75,0.625,0.25,0.125,0.5,0.625,0.75,0.75,0.375,0.625,8.0,8.0,5.0,3.0,1.0,0.6,10.4,11.0,16.0,18.667,3.8,2.0,4.6,6.0,39.6,38.667,3.4,4.0,7.6,4.667,14.6,11.0,4.0,3.333,1.0,0.5,2.8,3.333,PARTIAL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Brazil,Serie A,TIER_2,1492252,Corinthians,Sao Paulo,NS,74.91,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.0,13.17,4.0,6.84,-6.22,10.98,10.28,14.0,12.0,1.0,1.0,FULL,FULL,12.8,10.0,HIGH,HIGH,FULL,22.8,0.0,0.1,14.0,12.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,61.72,1.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,17.0,4.0,15.0,24.0,-3.0,6.0,1.0,0.5,1.875,1.75,1.0,1.0,0.375,0.75,0.75,0.75,0.75,0.625,0.25,0.25,0.5,0.5,0.125,0.25,8.0,8.0,5.0,5.0,1.0,1.0,11.6,14.6,11.6,16.0,3.6,4.0,4.8,3.6,59.8,47.6,5.0,9.6,3.4,5.8,10.6,13.2,1.4,2.0,2.0,1.75,3.8,5.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Canada,Canadian Championship,TIER_3,1543078,Vancouver FC,Langley United Sa,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-05-10,Brazil,Serie B,TIER_3,1520671,Avai,Fortaleza EC,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-05-10,Brazil,Serie B,TIER_3,1520678,Novorizontino,Botafogo SP,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
2026-05-10,Brazil,Serie C,TIER_3,1526807,Brusque,Ypiranga-RS,NS,21.0,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,OK_FULL,13,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,
