mode,market_primary,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
CORE_ONLY,AWAY_WIN,2,2,2,0,0,0,2.44,122.0
CORE_ONLY,BTTS_YES,2,2,1,1,0,0,-0.69,-34.5
CORE_ONLY,HOME_WIN,1,1,1,0,0,0,0.32,32.0
CORE_ONLY,OVER_1_5,5,5,3,2,0,0,-0.62,-12.4
CORE_ONLY,OVER_2_5,6,6,6,0,0,0,4.95,82.5
CORE_PLUS_STANDARD,AWAY_WIN,2,2,2,0,0,0,2.44,122.0
CORE_PLUS_STANDARD,BTTS_YES,2,2,1,1,0,0,-0.69,-34.5
CORE_PLUS_STANDARD,HOME_WIN,1,1,1,0,0,0,0.32,32.0
CORE_PLUS_STANDARD,OVER_1_5,5,5,3,2,0,0,-0.62,-12.4
CORE_PLUS_STANDARD,OVER_2_5,6,6,6,0,0,0,4.95,82.5
FULL_SHORTLIST,AWAY_WIN,2,2,2,0,0,0,2.44,122.0
FULL_SHORTLIST,BTTS_YES,2,2,1,1,0,0,-0.69,-34.5
FULL_SHORTLIST,HOME_WIN,1,1,1,0,0,0,0.32,32.0
FULL_SHORTLIST,OVER_1_5,9,9,6,3,0,0,-0.37,-4.111111
FULL_SHORTLIST,OVER_2_5,6,6,6,0,0,0,4.95,82.5
FULL_SHORTLIST,UNDER_3_5,2,2,2,0,0,0,0.69,34.5
COMPETITION_ACCURACY_MODE,AWAY_WIN,1,1,1,0,0,0,1.0,100.0
COMPETITION_ACCURACY_MODE,OVER_1_5,6,6,4,2,0,0,-0.14,-2.333333
COMPETITION_ACCURACY_MODE,OVER_2_5,2,2,2,0,0,0,1.42,71.0
