mode,historical_batch_date,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent,equity_units
CORE_ONLY,2026-05-04,3,3,3,0,0,0,2.59,86.333333,2.59
CORE_ONLY,2026-05-05,3,3,1,2,0,0,-1.68,-56.0,0.91
CORE_ONLY,2026-05-06,4,4,3,1,0,0,0.48,12.0,1.39
CORE_ONLY,2026-05-07,4,4,4,0,0,0,2.93,73.25,4.32
CORE_ONLY,2026-05-08,2,2,2,0,0,0,2.08,104.0,6.4
CORE_PLUS_STANDARD,2026-05-04,3,3,3,0,0,0,2.59,86.333333,2.59
CORE_PLUS_STANDARD,2026-05-05,3,3,1,2,0,0,-1.68,-56.0,0.91
CORE_PLUS_STANDARD,2026-05-06,4,4,3,1,0,0,0.48,12.0,1.39
CORE_PLUS_STANDARD,2026-05-07,4,4,4,0,0,0,2.93,73.25,4.32
CORE_PLUS_STANDARD,2026-05-08,2,2,2,0,0,0,2.08,104.0,6.4
FULL_SHORTLIST,2026-05-04,4,4,3,1,0,0,1.59,39.75,1.59
FULL_SHORTLIST,2026-05-05,5,5,3,2,0,0,-0.93,-18.6,0.66
FULL_SHORTLIST,2026-05-06,4,4,3,1,0,0,0.48,12.0,1.14
FULL_SHORTLIST,2026-05-07,4,4,4,0,0,0,2.93,73.25,4.07
FULL_SHORTLIST,2026-05-08,5,5,5,0,0,0,3.27,65.4,7.34
COMPETITION_ACCURACY_MODE,2026-05-04,2,2,1,1,0,0,-0.5,-25.0,-0.5
COMPETITION_ACCURACY_MODE,2026-05-06,1,1,0,1,0,0,-1.0,-100.0,-1.5
COMPETITION_ACCURACY_MODE,2026-05-07,3,3,3,0,0,0,1.98,66.0,0.48
COMPETITION_ACCURACY_MODE,2026-05-08,3,3,3,0,0,0,1.8,60.0,2.28
