segment,rows_total,graded_rows,wins,losses,pushes,voids,profit_units_total,roi_percent
2026-05-04,4,4,3,1,0,0,1.59,39.75
2026-05-05,5,5,3,2,0,0,-0.93,-18.6
2026-05-06,4,4,3,1,0,0,0.48,12.0
2026-05-07,4,4,4,0,0,0,2.93,73.25
2026-05-08,5,5,5,0,0,0,3.27,65.4
