date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_source,data_enrichment_updated_at,data_enrichment_level,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status
2026-05-07,UEFA Europa Conference League,848,2025,1540881,NS,Crystal Palace,52,Shakhtar Donetsk,550,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.982459+00:00,NO_AVAILABLE_FREEPLAN_DATA,10.0,10.0,5.0,6.0,11.0,6.0,0.0,6.0,13.0,5.0,6.0,10.0,5.0,0.5,36.0,2026-05-07T19:10:58.742971+00:00,1.72,4.14,5.5,1.91,1.91,1.31,3.8,1.96,1.96,3.3,1.36,,,,,,13.0,186.0,5810.0,0.5814,0.2415,0.1818,0.5236,0.5236,0.7634,0.2632,0.5102,0.5102,0.303,0.7353,,,,,,2026-05-07T19:10:59.519587+00:00,OK
2026-05-07,UEFA Europa Conference League,848,2025,1540882,NS,Strasbourg,95,Rayo Vallecano,728,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.984844+00:00,NO_AVAILABLE_FREEPLAN_DATA,1.0,16.0,6.0,6.0,11.0,5.0,1.0,5.0,13.0,6.0,6.0,13.0,7.0,1.0,36.0,2026-05-07T19:10:58.744484+00:00,1.99,3.8,4.0,1.73,2.1,1.28,3.9,1.91,2.01,3.25,1.4,,,,,,13.0,186.0,5852.0,0.5025,0.2632,0.25,0.578,0.4762,0.7812,0.2564,0.5236,0.4975,0.3077,0.7143,,,,,,2026-05-07T19:10:59.529858+00:00,OK
2026-05-07,Reserve League,906,2026,1512377,NS,San Martín San Juan Res.,25592,Belgrano Córdoba Res.,20817,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Botola Pro,200,2025,1543120,NS,FAR Rabat,969,Olympique Safi,975,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Liga Pro Serie B,243,2026,1526523,NS,Deportivo Cuenca Juniors,26031,Cumbayá,16476,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Liga Pro Serie B,243,2026,1526525,NS,Ind. Juniors,2238,Gualaceo SC,1986,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Copa Ecuador,917,2025,1542931,NS,9 de Octubre,10111,Manta FC,1980,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Brasileiro U20 A,740,2026,1526117,NS,Flamengo U20,11054,Palmeiras U20,12968,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Liga Pro Serie B,243,2026,1526528,NS,San Antonio,23310,Cuniburo,21103,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Copa Colombia,241,2026,1544252,NS,Jaguares,1133,Real Soacha,22099,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,CONMEBOL Sudamericana,11,2026,1535190,NS,Boston River,2361,Millonarios,1125,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.994905+00:00,NO_AVAILABLE_FREEPLAN_DATA,4.0,0.0,-4.0,3.0,0.0,4.0,1.0,3.0,4.0,-1.0,3.0,1.0,2.0,1.0,32.0,2026-05-07T19:10:58.748780+00:00,4.5,3.55,1.98,2.02,1.8,1.44,3.1,2.27,1.73,4.33,1.24,,,,,,13.0,173.0,4931.0,0.2222,0.2817,0.5051,0.495,0.5556,0.6944,0.3226,0.4405,0.578,0.2309,0.8065,,,,,,2026-05-07T19:10:59.559057+00:00,OK
2026-05-07,CONMEBOL Sudamericana,11,2026,1535199,NS,O'Higgins,2320,Sao Paulo,126,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,0.0,,,,,,0.0,,,,,,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.997070+00:00,NO_AVAILABLE_FREEPLAN_DATA,2.0,6.0,2.0,3.0,4.0,2.0,1.0,1.0,7.0,3.0,3.0,3.0,0.0,1.0,32.0,2026-05-07T19:10:58.750208+00:00,3.3,3.25,2.45,1.87,1.93,1.4,3.25,2.2,1.73,3.9,1.27,,,,,,13.0,178.0,5530.0,0.303,0.3077,0.4082,0.5348,0.5181,0.7143,0.3077,0.4545,0.578,0.2564,0.7874,,,,,,2026-05-07T19:10:59.567411+00:00,OK
2026-05-07,CONMEBOL Libertadores,13,2026,1535291,NS,Mirassol,7848,LDU de Quito,1158,,,,,,,,,,1.167,,0.833,,0.333,5.0,5.0,0.0,0.0,World,0.0,,,,,,6.0,1.0,1.0,0.5,0.667,0.333,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.977326+00:00,PARTIAL_HISTORICAL_PRIOR_LAST_8,3.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0,6.0,2.0,3.0,3.0,1.0,1.0,32.0,2026-05-07T19:10:58.739121+00:00,1.57,4.3,7.01,2.15,1.7,1.36,3.4,2.08,1.8,3.79,1.29,,,,,,13.0,182.0,5756.0,0.6369,0.2326,0.1427,0.4651,0.5882,0.7353,0.2941,0.4808,0.5556,0.2639,0.7752,,,,,,2026-05-07T19:10:59.496921+00:00,OK
2026-05-07,CONMEBOL Libertadores,13,2026,1535292,NS,Platense,1064,Penarol,2348,,,,,,,,,,2.0,,0.625,,0.5,5.0,5.0,0.0,0.0,World,0.0,,,,,,8.0,1.5,1.0,0.25,0.625,0.5,2024.0,2024.0,CACHE_FREEPLAN_HISTORICAL_PRIOR|CACHE_FREEPLAN_HISTORICAL_PRIOR,2026-05-07T19:10:57.980159+00:00,PARTIAL_HISTORICAL_PRIOR_LAST_8,2.0,6.0,0.0,3.0,4.0,4.0,1.0,4.0,1.0,-3.0,3.0,2.0,5.0,1.0,32.0,2026-05-07T19:10:58.741449+00:00,2.37,3.05,3.65,2.2,1.7,1.57,2.55,2.72,1.5,5.5,1.18,,,,,,12.0,178.0,5046.0,0.4219,0.3279,0.274,0.4545,0.5882,0.6369,0.3922,0.3676,0.6667,0.1818,0.8475,,,,,,2026-05-07T19:10:59.510349+00:00,OK
2026-05-07,Copa Espírito Santo,1097,2026,1542057,NS,Vitória ES,7837,Audax São Mateus,27711,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Copa Colombia,241,2026,1544253,NS,Llaneros,1464,Depor FC,1468,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Brasileiro U20 A,740,2026,1526121,NS,Vasco da Gama U20,12979,Santos U20,13055,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Copa do Nordeste,612,2026,1543218,NS,Confiança,7772,Fortaleza EC,154,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Copa Colombia,241,2026,1544254,NS,Ind. Yumbo,27411,Deportivo Pereira,1462,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
