date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,data_enrichment_level,data_enrichment_updated_at,home_stats_season_used,away_stats_season_used,data_enrichment_source,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home,odds_1_draw,odds_1_away,odds_btts_yes,odds_btts_no,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_bookmakers_count,odds_values_count,odds_market_count,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_over_2_5,imp_over_3_5,imp_under_3_5,odds_context_updated_at,odds_context_status,odds_context_v2_status,odds_context_v2_error
2026-05-05,Championnat D1,968,2025,1543835,NS,Lozo,21191,US Oyem,21193,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,425,2025,1544169,NS,Foutoua,9114,Omaya SC,27270,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,First League,343,2025,1540339,NS,Noah II,21879,Van II,26199,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Championnat D1,968,2025,1543836,NS,Ogooue FC,27625,Cercle Mbéri,6415,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Championnat D1,968,2025,1543837,NS,Stade Mandji,19865,Stade Migoveen,27575,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Championnat D1,968,2025,1543838,NS,Vautour Club,21194,Mangasport,8089,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465103,NS,Tillmitsch,21533,FSC Hochegger Dächer,21729,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465104,NS,UFC Fehring,18409,Pachern,19702,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465105,NS,Leoben,8326,Allerheiligen,4934,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465106,NS,Gnas,8321,Lebring,8325,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
