date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level
2026-05-10,J1 League,98,2026,1504808,NS,JEF United Chiba,301,Machida Zelvia,303,Japan,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255754+00:00,8.0,8.0,0.875,1.625,1.375,1.125,1.625,1.0,0.75,0.75,0.125,0.375,0.625,0.5,0.875,0.75,0.625,0.375,2026.0,2026.0,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-10,Queensland Premier League,833,2026,1524140,NS,St George Willawong,9993,Logan Lightning,11180,Australia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255758+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Second League A - Division A Silver,1026,2025,1526720,NS,Dinamo Stavropol,6796,Tyumen,2000,Russia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255766+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,League Two,929,2026,1532718,NS,Changchun Xidu,23132,Shanghai Second,27619,China,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255770+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,League Two,929,2026,1532719,NS,Shanghai Port II,23289,Dalian Yingbo B,27621,China,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255774+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,League Two,929,2026,1532720,NS,Xiamen Feilu,27622,Chengdu Rongcheng II,25839,China,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255778+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Second League - Group 4,653,2026,1536793,NS,Ural II,12887,Krylya Sovetov II,14140,Russia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255782+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,PFL,765,2026,1544085,NS,Tuloy,21580,Garelli United,21573,Philippines,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255786+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,FNL,346,2025,1477409,NS,Slavia Praha II,8618,Táborsko,3726,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255790+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,FNL,346,2025,1477410,NS,Viktoria Žižkov,3729,Sparta Praha II,8619,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255794+00:00,,,,,,,,,,,,,,,,,,,,,
