shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,recent_stats_quality_flag,recent_stats_process_score,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,score_fulltime_home,score_fulltime_away,goals_home,goals_away,status,resolved_home_goals,resolved_away_goals,match_finished_flag,primary_result,alt_result,primary_profit_units,alt_profit_units,actionable_flag,actionable_result,actionable_profit_units
1,TOP_CORE,TOP_CORE,2026-05-08,Italy,Serie B,1419969,Frosinone,Mantova,103.46,97.56,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,BTTS_YES,STRONG,TOP_CORE,BET,TOP_CORE,BET,APPROVED_BY_PROMOTED_RULE,18,0,4,14,STANDARD_EVIDENCE,odds_num <= 1.62,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | odds_num <= 1.62 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | odds_num <= 1.63 | odds_num <= 1.57 | odds_num <= 1.58 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Actionable recommendation matched standard promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7655,1.54,0.6493506493506493,0.1161493506493506,0.7348,1.57,0.6369426751592356,0.0978573248407643,2.36,1.67,4.03,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.36 | visitante 1.67,Market edge primario: prob 0.765 | impl 0.649 | edge +0.116,Bias lado: +1.79 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.80 aSOT=5.20 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,2.0,9.0,1.0,0.0,2.5,2.0,2.0,1.875,0.75,1.0,1.0,0.875,0.375,0.5,0.625,0.375,0.875,0.875,0.625,0.625,18.0,13.2,15.6,12.0,5.8,5.2,4.6,3.4,51.8,55.6,6.6,3.2,5.8,3.8,12.4,15.6,2.75,2.4,2.2,2.2,5.6,3.6,5.0,0.0,5.0,0.0,FT,5.0,0.0,1,WIN,LOSS,0.54,-1.0,1,WIN,0.54
2,TOP_CORE,TOP_CORE,2026-05-08,France,Ligue 1,1387989,Lens,Nantes,102.89,96.99,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,HOME_WIN,STRONG,TOP_CORE,BET,TOP_CORE,BET,APPROVED_BY_PROMOTED_RULE,18,0,4,14,STANDARD_EVIDENCE,odds_num <= 1.62,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | odds_num <= 1.62 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | odds_num <= 1.63 | odds_num <= 1.57 | odds_num <= 1.58 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Actionable recommendation matched standard promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.727,1.55,0.6451612903225806,0.0818387096774193,0.7678,1.5,0.6666666666666666,0.1011333333333334,2.86,0.93,3.79,FULL,4.0,5.0,5.0,1.0,1.0,14.0,10.0,FULL,FULL,13.2,10.0,HIGH,HIGH,FULL,23.2,0.0,0.1,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3598.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.86 | visitante 0.93,Market edge primario: prob 0.727 | impl 0.645 | edge +0.082,Bias lado: +3.82 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=7.00 aSOT=5.20 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=13.20 aRisk=10.00 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,2.0,17.0,1.0,1.0,1.75,0.75,2.5,0.875,1.625,1.25,0.875,0.5,0.125,0.375,0.75,0.375,1.0,0.625,0.875,0.5,20.6,16.4,8.0,10.6,7.0,5.2,3.0,4.2,60.4,39.8,7.4,6.8,2.2,4.8,10.6,12.6,1.8,2.0,1.4,1.8,4.4,6.2,1.0,0.0,1.0,0.0,FT,1.0,0.0,1,LOSS,WIN,-1.0,0.5,1,LOSS,-1.0
3,CORE_SHORTLIST,CORE,2026-05-08,Italy,Serie B,1419970,Catanzaro,Bari,102.64,96.74,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,7,4,14,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | odds_num <= 1.62 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | odds_num <= 1.63 | odds_num <= 1.57 | odds_num <= 1.58 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963 | odds_num <= 2.23 | odds_num <= 2.33,Actionable recommendation matched premium promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.9064,1.33,0.7518796992481203,0.1545203007518797,0.7575,2.08,0.4807692307692307,0.2767307692307692,2.63,1.35,3.98,FULL,3.72,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.63 | visitante 1.35,Market edge primario: prob 0.906 | impl 0.752 | edge +0.155,Bias lado: +2.32 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.40 aSOT=3.00 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,5.0,17.0,0.5,1.0,1.25,1.125,1.875,1.25,1.75,1.75,1.0,0.5,0.0,0.125,1.0,0.375,1.0,1.0,0.625,0.625,11.4,7.8,11.6,17.6,5.4,3.0,4.2,6.4,58.0,36.8,4.4,2.8,4.0,5.8,10.4,11.6,1.8,1.8,1.4,0.8,2.6,1.4,2.0,3.0,2.0,3.0,FT,2.0,3.0,1,WIN,WIN,0.33,1.08,1,WIN,0.33
4,CORE_SHORTLIST,CORE,2026-05-08,Spain,Segunda División,1392192,Cadiz,Deportivo La Coruna,101.4,95.5,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_1_5,STRONG,CORE_SHORTLIST,BET,CORE_SHORTLIST,BET,APPROVED_BY_PREMIUM_PROMOTED_RULE,21,7,0,14,PREMIUM_EVIDENCE,primary_model_prob >= 0.835,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | primary_model_prob >= 0.835 | primary_model_prob >= 0.8351 | primary_model_prob >= 0.8353 | primary_model_prob >= 0.8311 | primary_model_prob >= 0.8312 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | primary_model_prob >= 0.7961 | primary_model_prob >= 0.7963 | odds_num <= 2.23 | odds_num <= 2.33,Actionable recommendation matched premium promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.891,2.0,0.5,0.391,0.8432,1.31,0.7633587786259541,0.0798412213740458,0.35,2.98,3.33,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,1.0,1.0,0.22,0.45,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.35 | visitante 2.98,Market edge primario: prob 0.891 | impl 0.500 | edge +0.391,Bias lado: -4.83 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=3.20 aSOT=4.60 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,18.0,2.0,0.5,1.0,0.125,2.0,0.625,1.625,2.375,0.875,0.5,1.0,0.0,0.125,0.5,0.875,0.875,1.0,0.875,0.375,10.4,14.2,12.6,12.0,3.2,4.6,5.4,3.8,44.0,54.0,4.4,6.6,3.8,5.8,13.2,13.0,3.2,2.6,2.6,1.8,2.8,4.6,0.0,1.0,0.0,1.0,FT,0.0,1.0,1,WIN,LOSS,1.0,-1.0,1,WIN,1.0
5,CORE_SHORTLIST,CORE,2026-05-08,Germany,Bundesliga,1388597,Borussia Dortmund,Eintracht Frankfurt,101.07,95.17,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,OVER_1_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,13,0,0,13,GENERIC_BROAD,odds_num <= 2.57,odds_num <= 2.57 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.5595,1.87,0.53475935828877,0.02474064171123,0.8529,1.14,0.8771929824561404,-0.0242929824561404,2.21,1.19,3.4,FULL,4.0,5.0,5.0,1.0,1.0,4.0,6.0,FULL,FULL,4.0,6.0,HIGH,HIGH,FULL,10.0,0.0,0.1,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,1.0,1.0,0.45,0.22,0.45,0.45,0.393,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.21 | visitante 1.19,Market edge primario: prob 0.559 | impl 0.535 | edge +0.025,Bias lado: +2.02 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=2.60 aSOT=5.60 | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=4.00 aRisk=6.00 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.39,2.0,8.0,1.0,0.0,1.875,1.125,1.75,1.125,0.875,1.375,0.75,0.875,0.375,0.25,0.375,0.75,0.75,0.75,0.5,0.625,10.0,14.6,11.2,16.2,2.6,5.6,3.8,6.2,50.0,58.2,3.2,7.0,3.0,5.2,12.8,10.2,2.4,2.0,1.0,1.2,2.4,4.0,3.0,2.0,3.0,2.0,FT,3.0,2.0,1,LOSS,WIN,-1.0,0.14,0,SKIPPED,
6,WATCHLIST,WATCH,2026-05-08,Italy,Serie B,1419968,Monza,Empoli,100.05,94.15,HIGH,2-1 / 3-1 / 2-2,HOME_WIN,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,14,0,0,14,GENERIC_BROAD,odds_num <= 2.57,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7233,1.71,0.5847953216374269,0.1385046783625731,0.7233,,,,2.32,0.76,3.08,FULL,4.0,5.0,5.0,1.0,1.0,0.0,2.0,FULL,FULL,0.0,2.0,LOW,MEDIUM,FULL,2.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.32 | visitante 0.76,Market edge primario: prob 0.723 | impl 0.585 | edge +0.139,Bias lado: +3.09 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.60 aSOT=3.00 | availability=AVAILABILITY_SAFE inj=FULL hRisk=0.00 aRisk=2.00 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,3.0,15.0,1.0,0.5,1.875,1.125,1.625,1.125,0.625,1.25,0.875,0.625,0.625,0.125,0.375,0.5,0.75,0.625,0.375,0.25,15.2,12.4,14.4,12.2,5.6,3.0,4.6,3.8,50.6,47.8,5.8,4.8,2.8,5.4,11.6,18.0,1.8,1.8,1.0,1.6,3.6,4.8,2.0,2.0,2.0,2.0,FT,2.0,2.0,1,LOSS,PUSH,-1.0,0.0,0,SKIPPED,
7,WATCHLIST,WATCH,2026-05-08,Belgium,Jupiler Pro League,1536954,Standard Liege,OH Leuven,99.61,93.71,HIGH,2-1 / 3-1 / 2-2,HOME_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,13,0,0,13,GENERIC_BROAD,odds_num <= 2.57,odds_num <= 2.57 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.6327,2.06,0.4854368932038835,0.1472631067961165,0.8285,1.27,0.7874015748031495,0.0410984251968504,2.17,1.03,3.2,FULL,3.2,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3598.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.17 | visitante 1.03,Market edge primario: prob 0.633 | impl 0.485 | edge +0.147,Bias lado: +2.16 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=4.00 aSOT=3.00 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,2.0,6.0,1.0,0.0,1.5,1.0,1.75,0.875,1.0,1.5,0.875,0.5,0.25,0.375,0.75,0.25,0.875,0.75,0.625,0.25,10.8,7.6,16.4,15.6,4.0,3.0,6.0,5.8,41.8,50.8,3.2,3.8,7.4,5.6,8.0,11.4,1.4,2.6,2.5,2.4,3.8,1.6,2.0,1.0,2.0,1.0,FT,2.0,1.0,1,WIN,WIN,1.06,0.27,0,SKIPPED,
8,WATCHLIST,WATCH,2026-05-08,Germany,2. Bundesliga,1388909,SC Paderborn 07,Karlsruher SC,98.34,92.44,HIGH,2-1 / 3-1 / 2-2,BTTS_YES,OVER_1_5,STRONG,WATCH,BET,WATCH,BET,APPROVED_BY_PROMOTED_RULE,18,0,4,14,STANDARD_EVIDENCE,odds_num <= 1.62,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | odds_num <= 1.62 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | odds_num <= 1.63 | odds_num <= 1.57 | odds_num <= 1.58 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Actionable recommendation matched standard promoted-rule evidence.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7897,1.55,0.6451612903225806,0.1445387096774193,0.9385,1.12,0.8928571428571428,0.0456428571428572,2.56,1.94,4.5,FULL,4.0,5.0,5.0,1.0,1.0,0.0,1.0,FULL,FULL,0.0,1.0,LOW,LOW,FULL,1.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3733.59,0.0,1.0,11.0,11.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.56 | visitante 1.94,Market edge primario: prob 0.790 | impl 0.645 | edge +0.145,Bias lado: +1.36 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.00 aSOT=3.80 | availability=AVAILABILITY_SAFE inj=FULL hRisk=0.00 aRisk=1.00 | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,4.0,9.0,0.5,0.0,1.5,1.25,1.875,1.625,2.0,2.0,1.0,0.625,0.125,0.0,0.875,0.625,1.0,0.875,0.625,0.875,13.2,11.2,11.2,17.0,5.0,3.8,5.4,5.8,44.6,49.6,4.8,3.2,3.8,4.4,14.0,9.2,2.2,1.2,1.0,2.4,3.0,1.8,2.0,2.0,2.0,2.0,FT,2.0,2.0,1,WIN,WIN,0.55,0.12,1,WIN,0.55
9,WATCHLIST,WATCH,2026-05-08,Italy,Serie B,1419964,Sudtirol,Juve Stabia,98.15,92.25,HIGH,1-2 / 1-3 / 2-2,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,10,0,0,10,GENERIC_BROAD,primary_model_prob >= 0.6901,primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | vsigma_pre_score >= 70.52 | selection_score >= 72.46,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7131,5.5,0.1818181818181818,0.5312818181818182,0.8384,1.4,0.7142857142857143,0.1241142857142857,0.87,2.41,3.28,FULL,3.29,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.87 | visitante 2.41,Market edge primario: prob 0.713 | impl 0.182 | edge +0.531,Bias lado: -2.64 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | stats=FULL hSOT=2.00 aSOT=4.20 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,16.0,7.0,0.5,0.0,0.375,1.25,0.75,1.375,2.25,1.25,0.625,0.875,0.125,0.125,0.625,0.75,0.75,0.875,0.5,0.375,10.0,11.8,13.2,13.6,2.0,4.2,4.6,4.8,39.6,47.2,4.0,4.4,4.4,4.4,15.6,11.6,1.8,2.0,1.4,2.2,2.6,3.4,1.0,1.0,1.0,1.0,FT,1.0,1.0,1,LOSS,WIN,-1.0,0.4,0,SKIPPED,
10,WATCHLIST,WATCH,2026-05-08,Italy,Serie B,1419965,Venezia,Palermo,96.25,90.35,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,BTTS_YES,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,14,0,0,14,GENERIC_BROAD,odds_num <= 2.57,odds_num <= 2.57 | primary_model_prob >= 0.6901 | vsigma_pre_score >= 69.39 | selection_score >= 75.82 | selection_score >= 76.22 | vsigma_pre_score >= 70.62 | selection_score >= 74.84 | vsigma_pre_score >= 69.64 | vsigma_pre_score >= 69.73 | odds_num <= 2.44 | vsigma_pre_score >= 70.52 | selection_score >= 72.46 | odds_num <= 2.23 | odds_num <= 2.33,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7106,1.7,0.5882352941176471,0.1223647058823529,0.6939,1.75,0.5714285714285714,0.1224714285714285,2.13,1.55,3.68,FULL,4.0,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,1.0,1.0,FULL,FULL,FULL,ADVISORY_ONLY,90.0,-3613.59,0.0,1.0,11.0,11.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,0.45,0.45,0.45,0.45,0.45,0.0,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.13 | visitante 1.55,Market edge primario: prob 0.711 | impl 0.588 | edge +0.122,Bias lado: +1.07 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | stats=FULL hSOT=5.80 aSOT=5.80 | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_UNCERTAIN_ADVISORY state=ADVISORY_ONLY q=FULL hXI=11 aXI=11 conf=0.45,1.0,4.0,1.0,0.5,2.0,1.875,1.875,1.5,0.75,1.125,0.875,0.875,0.375,0.375,0.625,0.5,0.875,0.875,0.5,0.375,16.2,14.4,9.4,10.2,5.8,5.8,3.2,3.6,69.0,51.0,5.0,5.0,4.8,3.0,16.4,13.0,1.8,1.6,1.4,1.4,4.4,2.2,2.0,0.0,2.0,0.0,FT,2.0,0.0,1,LOSS,LOSS,-1.0,-1.0,0,SKIPPED,
