country,league,league_tier,league_filter_reason,matches
World,Friendlies Clubs,REJECT,hard_reject_noise_league,55
Brazil,Brasileiro U17,REJECT,hard_reject_noise_league,5
Kyrgyzstan,Premier League,REJECT,country_league_not_allowlisted,3
World,UEFA U19 Championship - Women,REJECT,hard_reject_noise_league,2
World,World Cup,REJECT,country_league_not_allowlisted,2
Australia,Northern NSW NPL,REJECT,country_league_not_allowlisted,1
Bhutan,Premier League,REJECT,country_league_not_allowlisted,1
Brazil,Brasiliense U20,REJECT,hard_reject_noise_league,1
Brazil,Carioca C,REJECT,country_league_not_allowlisted,1
Brazil,Paulista - U20,REJECT,hard_reject_noise_league,1
Finland,Kakkonen - Lohko C,REJECT,country_league_not_allowlisted,1
Paraguay,Division Intermedia,REJECT,country_league_not_allowlisted,1
USA,USL League Two,REJECT,country_league_not_allowlisted,1
World,UEFA Champions League,TIER_1,uefa_top_competition,10
World,UEFA Europa Conference League,TIER_1,uefa_top_competition,2
