execution_rank,execution_shortlist_source,fixture_id,date,league,home_team,away_team,market_primary,final_execution_bucket,final_recommendation,execution_score,selection_score,primary_model_prob,primary_odds_used,primary_edge,actionable_result,actionable_profit_units,primary_result,primary_profit_units,ledger_result_status,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
1,PREMIUM_CORE,1554374,2026-07-07,UEFA Champions League,Vikingur Reykjavik,Gyori ETO FC,OVER_2_5,APPROVED_PREMIUM,BET,128.1397604790419,86.61,0.8241,1.67,0.2252976047904191,LOSS,-1.0,LOSS,-1.0,RESULT_AVAILABLE,2026-07-07,2026-07-08T09:38:53+00:00,POST,OFFICIAL_RESULTS,PASS,2026-07-07-20260708T093853Z
2,PREMIUM_CORE,1554368,2026-07-07,UEFA Champions League,Lincoln Red Imps FC,Inter Club d'Escaldes,OVER_2_5,APPROVED_PREMIUM,BET,124.0339790575916,80.44,0.7695,1.91,0.2459397905759162,WIN,0.91,WIN,0.91,RESULT_AVAILABLE,2026-07-07,2026-07-08T09:38:53+00:00,POST,OFFICIAL_RESULTS,PASS,2026-07-07-20260708T093853Z
