fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1543789,Southampton,Middlesbrough,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,92.24,A_ANALIZAR_PRIMERO,
1538479,Servette FC,Lausanne,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,91.58,A_ANALIZAR_PRIMERO,
1538478,FC Luzern,FC Zurich,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,91.05,A_ANALIZAR_PRIMERO,
1540015,Dundee Utd,Livingston,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,89.98,A_ANALIZAR_PRIMERO,
1391175,Osasuna,Atletico Madrid,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,89.64,A_ANALIZAR_PRIMERO,
1391170,Real Betis,Elche,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,89.33,A_ANALIZAR_PRIMERO,
1544650,Catanzaro,Avellino,,OVER_OR_BTTS_CHECK,81.78,A_ANALIZAR_PRIMERO,
1391171,Celta Vigo,Levante,,OVER_OR_BTTS_CHECK,80.07,A_ANALIZAR_PRIMERO,
1544649,Modena,Juve Stabia,,OVER_OR_BTTS_CHECK,78.03,A_ANALIZAR_PRIMERO,
1540014,Aberdeen,ST Mirren,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,77.28,A_ANALIZAR_PRIMERO,
1538477,Grasshoppers,FC Winterthur,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,72.65,A_ANALIZAR_PRIMERO,
1540016,Kilmarnock,Dundee,,OVER_OR_BTTS_CHECK,72.52,A_ANALIZAR_PRIMERO,
1544684,RED Star FC 93,Rodez,,OVER_OR_BTTS_CHECK,71.72,A_ANALIZAR_PRIMERO,
1544661,Dunfermline,Partick,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,57.26,B_ANALIZAR,
1544687,Clyde,Hamilton Academical,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533636,El Gouna FC,Kahraba Ismailia,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533637,Pharco,Future FC,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1533638,Wadi Degla,Ismaily SC,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1429697,TS Galaxy,Mamelodi Sundowns,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520676,Londrina,São Bernardo,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1542921,Insutec,Barcelona SC,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,0.0,NO_DATA_BLOCKED,
