date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,recent_stats_process_score,team_edge_score,team_edge_raw,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,home_goal_path_score,away_goal_path_score,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_absences,away_absences,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,data_enrichment_level
2026-05-12,England,Championship,TIER_1,1543789,Southampton,Middlesbrough,NS,92.24,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,5.11,20.0,3.8,9.23,8.39,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.97,17.87,6.0,8.0,1.0,1.0,FULL,FULL,5.2,6.4,HIGH,HIGH,FULL,11.6,0.0,0.1,6.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,298.72,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,4.0,5.0,80.0,80.0,26.0,25.0,1.0,0.5,2.125,1.25,2.5,1.625,1.25,1.25,1.0,0.75,0.125,0.25,0.875,0.625,1.0,0.625,1.0,0.625,8.0,8.0,5.0,5.0,1.0,1.0,13.2,16.8,15.8,12.0,4.4,7.0,5.6,3.6,49.2,57.2,6.4,7.0,7.2,3.6,10.8,9.0,1.4,2.0,2.6,2.0,5.6,5.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Switzerland,Super League,TIER_2,1538479,Servette FC,Lausanne,NS,91.58,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,5.16,20.0,3.8,15.42,14.02,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,20.0,13.45,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,268.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,3.0,47.0,42.0,4.0,-10.0,1.0,0.5,2.125,1.5,2.5,1.375,1.125,2.0,1.0,0.625,0.375,0.125,0.625,0.5,1.0,1.0,0.625,0.875,8.0,8.0,5.0,5.0,1.0,1.0,16.4,13.2,8.8,12.0,6.8,4.4,2.8,5.2,51.8,48.2,4.4,4.8,4.6,4.8,10.6,12.0,1.8,1.8,1.0,0.2,4.4,2.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Switzerland,Super League,TIER_2,1538478,FC Luzern,FC Zurich,NS,91.05,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,5.16,18.89,3.38,16.0,16.19,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,20.0,13.78,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,268.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,4.0,47.0,38.0,6.0,-20.0,1.0,0.5,1.625,0.5,2.0,1.0,1.5,1.875,0.875,0.75,0.125,0.0,0.75,0.75,1.0,0.875,1.0,0.875,8.0,8.0,5.0,5.0,1.0,1.0,12.0,9.6,12.4,16.4,4.2,3.0,3.4,5.8,51.2,49.2,5.6,2.2,5.2,7.8,11.4,14.4,1.4,3.2,1.8,1.0,2.6,2.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Scotland,Premiership,TIER_2,1540015,Dundee Utd,Livingston,NS,89.98,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.07,19.13,3.8,15.78,14.35,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,18.78,16.44,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,283.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,6.0,43.0,20.0,-11.0,-32.0,1.0,0.0,1.625,1.0,1.875,1.375,1.75,1.5,0.875,0.75,0.25,0.25,0.625,0.625,1.0,0.875,0.875,0.5,8.0,8.0,5.0,5.0,1.0,1.0,17.0,11.8,13.8,15.0,5.4,3.4,6.2,4.2,43.2,46.0,4.4,5.0,5.4,4.6,11.6,9.2,1.5,2.0,1.25,2.2,5.0,3.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Spain,La Liga,TIER_1,1391175,Osasuna,Atletico Madrid,NS,89.64,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.91,18.06,3.6,10.77,-9.79,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,15.98,17.13,4.0,16.0,1.0,1.0,FULL,FULL,4.0,15.2,HIGH,HIGH,FULL,19.2,0.0,0.1,4.0,16.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,328.72,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,11.0,4.0,42.0,63.0,-3.0,20.0,0.0,0.5,1.0,1.0,1.25,1.5,1.625,1.625,0.875,0.875,0.125,0.125,0.75,0.75,0.75,0.875,0.625,0.625,8.0,8.0,5.0,5.0,1.0,1.0,9.8,11.8,14.2,12.4,4.2,3.6,4.6,2.8,48.0,45.6,3.6,4.2,6.8,4.8,11.6,10.4,1.8,2.0,2.0,2.0,2.2,2.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Spain,La Liga,TIER_1,1391170,Real Betis,Elche,NS,89.33,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.57,18.22,3.63,10.64,9.67,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,17.61,15.8,6.0,6.0,1.0,1.0,FULL,FULL,6.0,4.4,HIGH,HIGH,FULL,10.4,0.0,0.1,6.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,238.72,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,5.0,14.0,54.0,39.0,11.0,-8.0,0.5,0.0,1.25,1.5,1.5,1.375,1.375,1.75,0.875,0.875,0.25,0.125,0.75,0.75,0.875,0.75,0.5,0.75,8.0,8.0,5.0,5.0,1.0,1.0,11.0,10.0,11.2,13.4,4.0,4.0,4.8,4.6,50.8,55.2,4.2,5.0,4.0,6.2,12.2,12.8,3.0,1.6,1.0,1.75,3.4,1.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Italy,Serie B,TIER_1,1544650,Catanzaro,Avellino,NS,81.78,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,OK_FULL_STATS,30,28.0,3.07,18.37,3.8,2.34,2.13,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,17.03,17.42,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,298.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,5.0,8.0,59.0,49.0,11.0,-12.0,0.5,0.0,0.875,1.625,1.75,1.25,2.0,1.0,1.0,0.75,0.0,0.375,1.0,0.375,1.0,0.75,0.625,0.25,8.0,8.0,5.0,5.0,1.0,1.0,11.8,13.0,9.4,9.8,6.2,4.8,3.8,3.0,61.8,51.0,5.8,4.8,2.8,3.8,11.0,15.6,1.0,1.6,1.8,1.8,2.4,2.4,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Spain,La Liga,TIER_1,1391171,Celta Vigo,Levante,NS,80.07,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,OK_FULL_STATS,30,28.0,2.86,17.87,3.8,1.44,1.31,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,14.02,19.86,6.0,8.0,1.0,1.0,FULL,FULL,6.0,7.6,HIGH,HIGH,FULL,13.6,0.0,0.1,6.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,178.72,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,6.0,19.0,50.0,36.0,5.0,-16.0,0.0,1.0,0.75,1.75,1.375,1.5,2.375,1.5,0.625,0.75,0.0,0.375,0.625,0.5,0.875,0.75,0.875,0.375,8.0,8.0,5.0,5.0,1.0,1.0,9.0,17.0,11.0,9.2,3.8,5.2,4.4,3.0,49.8,54.0,4.4,6.6,3.6,4.0,14.0,12.4,2.8,2.2,1.0,0.8,2.4,5.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Italy,Serie B,TIER_1,1544649,Modena,Juve Stabia,NS,78.03,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,OK_FULL_STATS,30,28.0,2.27,16.65,3.37,1.11,-1.01,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,14.03,16.96,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,163.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,6.0,7.0,55.0,51.0,13.0,-1.0,0.0,0.0,1.0,1.25,1.125,1.375,1.5,1.25,0.75,0.875,0.0,0.125,0.75,0.75,0.75,0.875,0.625,0.375,8.0,8.0,5.0,5.0,1.0,1.0,11.0,10.6,14.2,14.4,3.8,3.6,6.0,3.8,49.8,52.6,2.6,4.0,5.2,5.0,16.6,10.2,2.2,1.5,1.0,1.8,2.4,3.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-12,Scotland,Premiership,TIER_2,1540014,Aberdeen,ST Mirren,NS,77.28,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.07,14.75,3.31,7.46,6.78,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,13.76,13.56,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,283.71,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,5.0,40.0,30.0,-12.0,-27.0,1.0,0.0,1.0,1.125,1.0,1.0,1.75,1.625,0.75,0.5,0.25,0.125,0.5,0.375,0.875,0.625,0.5,0.375,8.0,8.0,5.0,5.0,1.0,1.0,9.4,11.0,12.0,7.0,2.4,4.0,4.0,3.0,44.8,54.8,4.2,7.4,4.8,5.0,16.2,12.0,2.2,1.8,2.0,2.75,2.0,2.5,FULL,TEAM_LAST_8_ALL_COMPETITIONS
