market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
HOME_WIN,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.4669,by_market_primary,,
OVER_1_5,3.0,3.0,3.0,0.0,0.0,1.0,1.05,0.1255,by_market_primary,,
OVER_2_5,2.0,2.0,1.0,1.0,0.0,0.5,0.14,0.2661,by_market_primary,,
UNDER_3_5,1.0,1.0,1.0,0.0,0.0,1.0,0.45,-0.0012,by_market_primary,,
,1.0,1.0,1.0,0.0,0.0,1.0,0.45,-0.0012,by_edge_floor_band,NEGATIVE,
,6.0,6.0,4.0,2.0,0.0,0.6667,0.19,0.2293,by_edge_floor_band,STRONG,
,1.0,1.0,1.0,0.0,0.0,1.0,1.14,0.3371,by_execution_verdict,,CORE_SHORTLIST
,1.0,1.0,1.0,0.0,0.0,1.0,0.45,-0.0012,by_execution_verdict,,NO_BET
,1.0,1.0,1.0,0.0,0.0,1.0,0.31,0.141,by_execution_verdict,,TOP_CORE
,4.0,4.0,2.0,2.0,0.0,0.5,-1.26,0.2243,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,3.0,3.0,3.0,0.0,0.0,1.0,1.86,0.2073,actionable_summary,,
