target_date,generated_at,gate_rank,fixture_id,league,home_team,away_team,market_primary,base_final_recommendation,objective_status,availability_status,lineup_status,gate_decision,gate_reason,recommended_action,home_urgency_score,away_urgency_score,home_rank,away_rank,lineup_activation_state,lineup_minutes_to_kickoff,availability_known_risk_score,availability_attack_penalty,home_absence_risk_score,away_absence_risk_score,pick_failure_mode,auto_apply,production_change,guardrail_status
2026-07-08,2026-07-08T10:55:13+01:00,1,1554374,UEFA Champions League,Vikingur Reykjavik,Gyori ETO FC,OVER_2_5,BET,OBJECTIVE_NEUTRAL_OR_UNKNOWN,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,WAIT_PRELOCK,no strong urgency signal for tempo market; lineups are inactive and fixture is outside prelock window; no strong availability contradiction detected,Wait for lineups/prelock before execution,0,0,,,INACTIVE,9999,0,0,0,0,PROXY_CONTEXT_ONLY,NO,NO,DATED_SOURCE_ONLY_OBJECTIVE_AVAILABILITY_GATE
2026-07-08,2026-07-08T10:55:13+01:00,2,1554368,UEFA Champions League,Lincoln Red Imps FC,Inter Club d'Escaldes,OVER_2_5,BET,OBJECTIVE_NEUTRAL_OR_UNKNOWN,AVAILABILITY_UNKNOWN_OR_CLEAN,WAIT_PRELOCK,WAIT_PRELOCK,no strong urgency signal for tempo market; lineups are inactive and fixture is outside prelock window; no strong availability contradiction detected,Wait for lineups/prelock before execution,0,0,,,INACTIVE,9999,0,0,0,0,PROXY_CONTEXT_ONLY,NO,NO,DATED_SOURCE_ONLY_OBJECTIVE_AVAILABILITY_GATE
