summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,14,13,5,5,0,83.1736,0.118921,4.9286,3.7857,1.1429,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,5,5,5,5,0,84.928,0.160577,11.2,8.0,3.2,0.0
by_final_execution_bucket,DOWNGRADED,,,,,8,8,0,0,0,81.0638,0.092886,1.625,1.625,0.0,0.0
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,91.28,,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,5,5,5,5,0,84.928,0.160577,11.2,8.0,3.2,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,73.74,0.158131,13.0,13.0,0.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,7,7,0,0,0,82.11,0.083565,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,91.28,,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,5,5,5,5,0,84.928,0.160577,11.2,8.0,3.2,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,8,8,0,0,0,81.0638,0.092886,1.625,1.625,0.0,0.0
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,1,0,0,0,0,91.28,,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,2,2,2,2,0,90.545,0.127878,6.0,6.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,97.09,0.262715,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,2,2,2,2,0,73.23,0.142207,9.5,7.5,2.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,8,8,0,0,0,81.0638,0.092886,1.625,1.625,0.0,0.0
by_bucket_and_execution_verdict,WATCH,,,CORE_SHORTLIST,,1,0,0,0,0,91.28,,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,5,5,5,5,0,84.928,0.160577,11.2,8.0,3.2,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,73.74,0.158131,13.0,13.0,0.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,7,7,0,0,0,82.11,0.083565,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,91.28,,0.0,0.0,0.0,0.0
