target_date,generated_at,fixture_id,home_team,away_team,market,candidate_origin,market_direction_source,max_execution_permission,real_data_strength,proxy_reason,allowed_downstream_use,source_files,auto_apply,production_change
2026-06-20,2026-06-20T16:22:28+01:00,1520732,Ceara,Botafogo SP,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520735,Londrina,Athletic Club,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1520739,Vila Nova,Nautico Recife,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522828,Panevėžys,Šiauliai,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522829,TransINVEST Vilnius,Kauno Žalgiris,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1522830,Banga,FK Zalgiris Vilnius,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526855,Anápolis,AO Itabaiana,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526857,Botafogo PB,Volta Redonda,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1526863,Santa Cruz,Ypiranga-RS,NO_CLEAR_STAT_MARKET,TRANSLATOR_ONLY,UNKNOWN,NO_BET,8,translator row exists without identifiable shortlist origin,NO_BET_ONLY,vsigma_forecast_market_translator.csv,NO,NO
2026-06-20,2026-06-20T16:22:28+01:00,1551272,Almeria,Malaga,OVER_1_5_SUPPORTED,REAL_SHORTLIST,OVER_TEMPO,LIVE_ONLY,60,dated shortlist row marked BET,LIVE_CONFIRMATION_REQUIRED,vsigma_today_execution_shortlist.csv,NO,NO
