target_date,generated_at,card,status,detail,next_action
2026-06-12,2026-06-12T12:31:52+01:00,MOBILE_STATUS,OK,betting_permission=NO; final_decision=NO_OPERATOR_ACTION; action_level=NONE; alert_route=LOCAL_ONLY,No operator action required.
2026-06-12,2026-06-12T12:31:52+01:00,OPERATOR,NONE,final_decision=NO_OPERATOR_ACTION; alert_route=LOCAL_ONLY; sanity=PASS,Read operator brief only if status is REVIEW_NOW/LIVE/STOP.
2026-06-12,2026-06-12T12:31:52+01:00,LEARNING_GUARD,PASS,commit_allowed=YES; decisions=PASS=7,"If BLOCK_COMMIT, rerun/fix learning chain before trusting outputs."
2026-06-12,2026-06-12T12:31:52+01:00,LEARNING_SANITY,PASS,sanity=PASS=7; severity=OK=7,Review warnings before calibration decisions.
2026-06-12,2026-06-12T12:31:52+01:00,SHADOW_QUEUE,INACTIVE_OR_STABLE,active=0; high=0; metrics=none; decisions=REJECT_LOW_SAMPLE=1,Shadow only; no production change.
2026-06-12,2026-06-12T12:31:52+01:00,PROMOTION_READINESS,NO_PROMOTION,promotion_candidates=0; decisions=WAIT_MORE_SAMPLE=1,Manual review only if promotion candidate appears.
2026-06-12,2026-06-12T12:31:52+01:00,SHADOW_AB,UNAVAILABLE,metrics=none; verdicts=none; No A/B summary rows yet.,Generate shadow forecast A/B simulator.
2026-06-12,2026-06-12T12:31:52+01:00,SHADOW_AB_QUALITY,NO_DATA,quality_gates=NO_DATA=1; usable=none; bad=none; No usable A/B data.,Do not use A/B for calibration decisions.
