summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,6,6,4,4,0,75.96,0.152432,11.6667,7.6667,4.0,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,4,4,4,4,0,75.3975,0.215664,17.5,11.5,6.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,2,2,0,0,0,77.085,0.02597,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,4,4,4,4,0,75.3975,0.215664,17.5,11.5,6.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,2,2,0,0,0,77.085,0.02597,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,4,4,4,4,0,75.3975,0.215664,17.5,11.5,6.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,2,2,0,0,0,77.085,0.02597,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,3,3,3,3,0,73.98,0.242152,20.6667,12.6667,8.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,79.65,0.136198,8.0,8.0,0.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,2,2,0,0,0,77.085,0.02597,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,4,4,4,4,0,75.3975,0.215664,17.5,11.5,6.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,2,2,0,0,0,77.085,0.02597,0.0,0.0,0.0,0.0
