country,league,league_tier,league_filter_reason,matches
Finland,Suomen Cup,REJECT,country_league_not_allowlisted,13
Poland,III Liga - Group 1,REJECT,country_league_not_allowlisted,9
Poland,III Liga - Group 2,REJECT,country_league_not_allowlisted,9
Poland,III Liga - Group 4,REJECT,country_league_not_allowlisted,9
Bulgaria,Third League - Southeast,REJECT,country_league_not_allowlisted,8
Poland,III Liga - Group 3,REJECT,country_league_not_allowlisted,8
Senegal,Ligue 1,REJECT,country_league_not_allowlisted,8
Zimbabwe,Premier Soccer League,REJECT,country_league_not_allowlisted,8
Brazil,Brasileiro U20 A,REJECT,hard_reject_noise_league,7
Bulgaria,Third League - Northeast,REJECT,country_league_not_allowlisted,7
Cameroon,Elite One,REJECT,country_league_not_allowlisted,7
Mali,Première Division,REJECT,country_league_not_allowlisted,7
Botswana,Premier League,REJECT,country_league_not_allowlisted,6
Brazil,Brasileiro U20 B,REJECT,hard_reject_noise_league,6
Denmark,2. Division,REJECT,country_league_not_allowlisted,6
Argentina,Reserve League,REJECT,hard_reject_noise_league,5
Iceland,Cup,REJECT,country_league_not_allowlisted,5
Israel,Ligat Ha'al,REJECT,country_league_not_allowlisted,5
Italy,Serie C - Promotion - Play-offs,REJECT,country_league_not_allowlisted,5
Sweden,Superettan,REJECT,country_league_not_allowlisted,5
Australia,Capital Territory NPL,REJECT,country_league_not_allowlisted,4
Gambia,GFA League,REJECT,country_league_not_allowlisted,4
Greece,Gamma Ethniki - Promotion Group,REJECT,country_league_not_allowlisted,4
Greece,Super League 1,REJECT,country_league_not_allowlisted,4
Kazakhstan,Cup,REJECT,country_league_not_allowlisted,4
Saudi-Arabia,Division 1,REJECT,country_league_not_allowlisted,4
Sweden,Ettan - Norra,REJECT,country_league_not_allowlisted,4
Sweden,Ettan - Södra,REJECT,country_league_not_allowlisted,4
Ukraine,Premier League,REJECT,country_league_not_allowlisted,4
World,CAF Cup of Nations - U17,REJECT,hard_reject_noise_league,4
Zambia,Super League,REJECT,country_league_not_allowlisted,4
Brazil,Copa Do Brasil,REJECT,country_league_not_allowlisted,3
Brazil,Copa Gaúcha,REJECT,country_league_not_allowlisted,3
Bulgaria,First League,REJECT,country_league_not_allowlisted,3
Germany,Oberliga - Niedersachsen,REJECT,hard_reject_noise_league,3
Italy,Serie D - Championship Round,REJECT,country_league_not_allowlisted,3
Slovakia,I Liga - Women,REJECT,hard_reject_noise_league,3
Tanzania,Ligi kuu Bara,REJECT,country_league_not_allowlisted,3
Tunisia,Ligue 1,REJECT,country_league_not_allowlisted,3
Uganda,Premier League,REJECT,country_league_not_allowlisted,3
World,AFC U17 Asian Cup,REJECT,hard_reject_noise_league,3
Bolivia,Primera División,REJECT,country_league_not_allowlisted,2
Brazil,Carioca A2,REJECT,country_league_not_allowlisted,2
Brazil,Copa do Brasil U17,REJECT,hard_reject_noise_league,2
Czech-Republic,Czech Liga,REJECT,country_league_not_allowlisted,2
Germany,Oberliga - Baden-Württemberg,REJECT,hard_reject_noise_league,2
Kenya,FKF Premier League,REJECT,country_league_not_allowlisted,2
Luxembourg,Cup,REJECT,country_league_not_allowlisted,2
Moldova,Cupa,REJECT,country_league_not_allowlisted,2
Oman,Professional League,REJECT,country_league_not_allowlisted,2
Poland,Ekstraklasa,REJECT,country_league_not_allowlisted,2
World,ASEAN Club Championship,REJECT,country_league_not_allowlisted,2
Albania,Cup,REJECT,country_league_not_allowlisted,1
Argentina,Copa Argentina,REJECT,country_league_not_allowlisted,1
Argentina,Liga Profesional Argentina,REJECT,country_league_not_allowlisted,1
Austria,Regionalliga - Mitte,REJECT,hard_reject_noise_league,1
Azerbaijan,Cup,REJECT,country_league_not_allowlisted,1
Barbados,Premier League,REJECT,country_league_not_allowlisted,1
Bhutan,Premier League,REJECT,country_league_not_allowlisted,1
Bosnia,Cup,REJECT,country_league_not_allowlisted,1
Brazil,Catarinense - 2,REJECT,country_league_not_allowlisted,1
Brazil,Copa Centro-Oeste,REJECT,country_league_not_allowlisted,1
Brazil,Copa Espírito Santo,REJECT,country_league_not_allowlisted,1
Brazil,Paulista - A2,REJECT,country_league_not_allowlisted,1
Canada,Canadian Premier League,REJECT,country_league_not_allowlisted,1
Colombia,Copa Colombia,REJECT,country_league_not_allowlisted,1
Colombia,Primera B,REJECT,country_league_not_allowlisted,1
Congo-DR,Ligue 1,REJECT,country_league_not_allowlisted,1
Croatia,Cup,REJECT,country_league_not_allowlisted,1
Ecuador,Liga Pro Serie B,REJECT,country_league_not_allowlisted,1
Ecuador,Supercopa de Ecuador,REJECT,country_league_not_allowlisted,1
El-Salvador,Primera Division,REJECT,country_league_not_allowlisted,1
England,FA WSL,REJECT,country_league_not_allowlisted,1
Estonia,Esiliiga A,REJECT,country_league_not_allowlisted,1
Faroe-Islands,Løgmanssteypid,REJECT,country_league_not_allowlisted,1
Gabon,Championnat D1,REJECT,country_league_not_allowlisted,1
Germany,Oberliga - Rheinland-Pfalz / Saar,REJECT,hard_reject_noise_league,1
Ghana,Division One League,REJECT,country_league_not_allowlisted,1
Italy,Coppa Italia,REJECT,country_league_not_allowlisted,1
