shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,execution_fragility_reason,execution_market_fit_status,execution_market_fit_note,execution_preferred_safer_market,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,projected_home_goals,projected_away_goals,projected_total_goals,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,recent_stats_quality_flag,recent_stats_process_score,recent_lab_context_score,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_schedule_balance_delta,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_event_coverage_flag,away_recent_event_coverage_flag,recent_sample_cleanliness_flag,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_injuries_count,away_injuries_count,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,vsigma_priority,market_family_hint,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,final_execution_bucket,final_execution_reason,final_execution_bucket_order
5,CORE_SHORTLIST,CORE,2026-05-13,Scotland,Premiership,1540030,Motherwell,Celtic,95.3,90.1,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,CORE_SHORTLIST,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7442,1.57,0.6369426751592356,0.1072573248407643,0.8996,1.19,0.8403361344537815,0.0592638655462184,1.37,2.52,3.89,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.8,-0.06,1.0,0.984,0.717,0.621,0.434,0.242,FULL,PARTIAL,0.096,1.0,1.0,4.0,3.0,0.35,0.35,SUPPORTED,SUPPORTED,MIXED,5.0,5.0,1.0,1.0,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.13,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,Proj goles: local 1.37 | visitante 2.52,Market edge primario: prob 0.744 | impl 0.637 | edge +0.107,Bias lado: -2.32 | tie=NA | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=4.20 aSOT=5.80 | lab_sched=FULL/PARTIAL trust=1.00/0.98 clean=MIXED | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,4.0,2.0,0.5,1.0,0.875,2.375,1.25,2.125,1.75,1.0,0.75,0.75,0.25,0.25,0.625,0.625,0.75,0.75,0.625,0.625,11.2,16.25,13.0,7.0,4.2,5.8,4.4,2.6,55.4,60.0,4.4,6.8,4.2,4.6,11.8,12.4,2.8,1.6,2.8,2.25,2.6,5.75,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
9,WATCHLIST,WATCH,2026-05-13,Spain,La Liga,1391172,Espanyol,Athletic Club,89.62,83.72,HIGH,1-2 / 0-1 / 1-1,OVER_1_5,AWAY_WIN,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7653,1.4,0.7142857142857143,0.0510142857142856,0.5944,2.77,0.3610108303249097,0.2333891696750902,0.92,1.86,2.78,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,FULL,3.08,-0.08,0.998,0.982,0.709,0.608,0.418,0.216,FULL,FULL,0.101,1.0,1.0,4.0,4.0,0.35,0.35,SUPPORTED,SUPPORTED,MIXED,5.0,5.0,1.0,1.0,8.0,8.0,FULL,FULL,7.2,8.0,HIGH,HIGH,FULL,15.2,0.0,0.1,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,585.25,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,Proj goles: local 0.92 | visitante 1.86,Market edge primario: prob 0.765 | impl 0.714 | edge +0.051,Bias lado: -1.57 | tie=NA | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=2.60 aSOT=3.20 | lab_sched=FULL/FULL trust=1.00/0.98 clean=MIXED | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=7.20 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,17.0,9.0,1.0,0.0,0.375,1.125,0.5,1.25,1.5,1.75,0.5,0.625,0.25,0.125,0.5,0.5,0.625,0.75,0.375,0.625,11.8,10.2,15.8,8.6,2.6,3.2,6.2,4.6,36.8,52.0,4.4,6.8,5.4,3.6,16.4,12.6,3.8,2.25,2.6,0.75,3.2,3.0,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
12,WATCHLIST,WATCH,2026-05-13,South-Korea,K League 1,1506978,Bucheon FC 1995,Jeonbuk Motors,87.38,82.18,HIGH,1-2 / 0-1 / 1-1,AWAY_WIN,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,APPROVED_BY_PREMIUM_PROMOTED_RULE,25,13,12,0,PREMIUM_EVIDENCE,model_edge_abs_num >= 0.115531,model_edge_abs_num >= 0.115531 | primary_edge >= 0.115531 | model_edge_abs_num >= 0.131684 | model_edge_abs_num >= 0.136433 | primary_edge >= 0.131684 | primary_edge >= 0.136433 | model_edge_abs_num >= 0.167733 | primary_edge >= 0.167733 | model_edge_abs_num >= 0.176245 | primary_edge >= 0.176245 | model_edge_abs_num >= 0.164431 | primary_edge >= 0.164431 | model_edge_abs_num >= 0.184762 | primary_edge >= 0.184762 | model_edge_abs_num >= 0.169424 | primary_edge >= 0.169424 | model_edge_abs_num >= 0.128099 | model_edge_abs_num >= 0.129431 | model_edge_abs_num >= 0.138141 | primary_edge >= 0.128099 | primary_edge >= 0.129431 | primary_edge >= 0.138141 | model_edge_abs_num >= 0.178059 | primary_edge >= 0.178059 | model_edge_abs_num >= 0.146275,Actionable recommendation matched premium promoted-rule evidence.,AWAY_WIN_DRAW_RISK,MARKET_FIT_DOWNGRADED,"AWAY_WIN requires premium governance, core base verdict, usable odds, and strict model probability/edge strength.",OVER_1_5,0.7681,1.83,0.5464480874316939,0.221651912568306,0.749,1.4,0.7142857142857143,0.0347142857142857,0.49,2.2,2.69,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,SPARSE,1.52,-0.12,0.97,1.0,0.53,0.497,0.06,-0.006,FULL,FULL,0.033,1.0,0.0,4.0,5.0,0.35,0.0,SUPPORTED,SUPPORTED,MIXED,2.0,2.0,0.4,0.4,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,195.19,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,Proj goles: local 0.49 | visitante 2.20,Market edge primario: prob 0.768 | impl 0.546 | edge +0.222,Bias lado: -3.08 | tie=NA | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=0.0 lineups=1.0 | stats=SPARSE hSOT=5.00 aSOT=6.00 | lab_sched=FULL/FULL trust=0.97/1.00 clean=MIXED | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,11.0,3.0,1.0,0.5,1.0,2.0,0.5,1.75,1.125,0.75,0.375,0.875,0.375,0.5,0.125,0.375,0.375,0.75,0.25,0.375,12.0,12.5,14.0,12.5,5.0,6.0,4.0,6.0,43.5,58.0,1.5,5.0,6.0,4.5,14.0,14.5,2.0,3.5,0.5,0.5,2.5,3.0,DOWNGRADED,Execution market-fit hardening downgraded the candidate: AWAY_WIN_DRAW_RISK.,3
16,WATCHLIST,WATCH,2026-05-13,South-Korea,K League 1,1506979,Ulsan Hyundai FC,Jeju United FC,75.9,70.7,MEDIUM_HIGH,1-1 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7885,1.33,0.7518796992481203,0.0366203007518797,0.5585,2.05,0.4878048780487805,0.0706951219512194,1.35,1.57,2.92,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,SPARSE,1.13,-0.26,0.943,0.991,0.362,0.443,-0.276,-0.114,FULL,FULL,-0.081,1.0,0.0,4.0,5.0,0.35,0.0,SUPPORTED,SUPPORTED,MIXED,1.0,2.0,0.2,0.4,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,195.17,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,Proj goles: local 1.35 | visitante 1.57,Market edge primario: prob 0.788 | impl 0.752 | edge +0.037,Bias lado: -0.07 | tie=NA | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=0.0 lineups=1.0 | stats=SPARSE hSOT=4.00 aSOT=4.00 | lab_sched=FULL/FULL trust=0.94/0.99 clean=MIXED | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,2.0,7.0,1.0,0.0,1.25,1.75,1.5,0.875,1.875,0.625,0.75,0.75,0.0,0.5,0.75,0.25,0.875,0.5,0.625,0.0,20.0,8.0,15.0,5.0,4.0,4.0,9.0,2.0,58.0,40.0,6.0,2.0,4.0,4.5,20.0,17.0,3.0,1.0,2.0,1.0,11.0,2.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
17,WATCHLIST,WATCH,2026-05-13,South-Korea,K League 1,1506977,FC Anyang,Gimcheon Sangmu FC,74.71,69.51,MEDIUM_HIGH,1-1 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_NO_PROMOTED_RULE_MATCH,0,0,0,0,,,,Base actionable recommendation did not match any production-ready promoted rule.,,SAFE_OK,Execution market translation passed hardening gates.,,0.7706,1.35,0.7407407407407407,0.0298592592592592,0.5328,2.13,0.4694835680751174,0.0633164319248826,1.53,1.28,2.81,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,SPARSE,1.14,0.13,1.011,1.022,0.566,0.639,0.132,0.278,FULL,FULL,-0.073,0.0,0.0,5.0,5.0,0.0,0.0,SUPPORTED,SUPPORTED,CLEAN,1.0,2.0,0.2,0.4,,,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,195.18,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,Proj goles: local 1.53 | visitante 1.28,Market edge primario: prob 0.771 | impl 0.741 | edge +0.030,Bias lado: +0.51 | tie=NA | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=0.0 lineups=1.0 | stats=SPARSE hSOT=12.00 aSOT=3.50 | lab_sched=FULL/FULL trust=1.01/1.02 clean=CLEAN | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,9.0,10.0,0.5,0.5,1.25,1.125,1.125,1.125,0.875,1.375,0.625,0.75,0.25,0.25,0.5,0.625,0.5,0.875,0.125,0.5,13.0,10.5,15.0,8.5,12.0,3.5,5.0,4.0,55.0,61.0,2.0,5.5,4.0,1.0,14.0,18.5,3.0,4.0,0.0,2.0,0.0,3.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
