date,country,league,league_tier,fixture_id,home_team,away_team,status,vsigma_pre_score,vsigma_priority,market_family_hint,data_warning,league_quality_score,data_quality_score,standings_context_score,attack_environment_score,recent_stats_process_score,recent_lab_context_score,team_edge_score,team_edge_raw,league_coverage_class,league_data_reliability_score,league_coverage_rich_flag,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_stats_reliability_multiplier,league_coverage_uncertainty_penalty,league_coverage_source_status,league_coverage_note,home_goal_path_score,away_goal_path_score,home_recent_lab_trust_multiplier,away_recent_lab_trust_multiplier,home_recent_opponent_strength_avg,away_recent_opponent_strength_avg,home_recent_schedule_difficulty_score,away_recent_schedule_difficulty_score,home_recent_schedule_quality_flag,away_recent_schedule_quality_flag,recent_schedule_balance_delta,home_recent_anomaly_count_last5,away_recent_anomaly_count_last5,home_recent_clean_sample_size,away_recent_clean_sample_size,home_recent_anomaly_penalty,away_recent_anomaly_penalty,home_recent_event_coverage_flag,away_recent_event_coverage_flag,recent_sample_cleanliness_flag,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_risk_score,away_absence_risk_score,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,availability_known_risk_score,availability_uncertainty_penalty,availability_attack_penalty,home_absences,away_absences,home_lineup_available_flag,away_lineup_available_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_score_nudge,home_rank,away_rank,home_points,away_points,home_goals_diff,away_goals_diff,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_recent_matches,away_recent_matches,home_recent_stats_matches_used,away_recent_stats_matches_used,home_recent_stats_coverage_ratio,away_recent_stats_coverage_ratio,home_recent_shots_for_pg,away_recent_shots_for_pg,home_recent_shots_against_pg,away_recent_shots_against_pg,home_recent_sot_for_pg,away_recent_sot_for_pg,home_recent_sot_against_pg,away_recent_sot_against_pg,home_recent_possession_pct,away_recent_possession_pct,home_recent_corners_for_pg,away_recent_corners_for_pg,home_recent_corners_against_pg,away_recent_corners_against_pg,home_recent_fouls_pg,away_recent_fouls_pg,home_recent_yellow_pg,away_recent_yellow_pg,home_recent_offsides_pg,away_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,data_enrichment_level
2026-05-13,Spain,La Liga,TIER_1,1391169,Alaves,Barcelona,NS,98.46,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,4.88,19.68,3.8,-0.33,16.0,-30.37,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,16.66,19.97,0.945,0.973,0.592,0.551,0.184,0.102,FULL,FULL,0.041,2.0,1.0,3.0,3.0,0.7,0.35,SUPPORTED,SUPPORTED,POLLUTED,4.0,6.0,1.0,1.0,FULL,FULL,3.2,4.8,HIGH,HIGH,FULL,8.0,0.0,0.1,4.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,735.25,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,19.0,1.0,37.0,91.0,-13.0,60.0,1.0,1.0,1.125,2.625,2.125,1.75,2.375,0.75,1.0,0.875,0.0,0.375,1.0,0.5,1.0,0.75,0.875,0.5,8.0,8.0,5.0,5.0,1.0,1.0,14.2,14.2,11.4,8.8,4.2,5.8,4.6,2.8,46.6,70.8,6.2,5.2,6.0,3.8,12.0,9.8,2.6,1.8,1.6,2.8,4.4,3.2,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,England,Premier League,TIER_1,1379275,Manchester City,Crystal Palace,NS,97.64,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,4.34,19.4,3.8,-0.02,16.0,23.1,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.97,13.07,1.01,0.984,0.561,0.649,0.122,0.298,PARTIAL,FULL,-0.088,0.0,1.0,4.0,2.0,0.0,0.4,SUPPORTED,PARTIAL,MIXED,6.0,8.0,1.0,1.0,FULL,FULL,4.0,8.0,HIGH,HIGH,FULL,12.0,0.0,0.1,6.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.21,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,15.0,74.0,44.0,40.0,-6.0,1.0,0.5,2.375,1.625,2.25,1.5,0.875,1.375,1.0,0.75,0.5,0.25,0.5,0.625,0.875,0.875,0.75,0.875,8.0,8.0,5.0,5.0,1.0,1.0,21.6,9.8,9.6,13.0,6.4,3.8,3.2,3.8,66.2,42.6,10.0,3.0,4.0,7.4,9.2,12.2,1.0,2.4,0.6,1.2,8.2,1.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Spain,La Liga,TIER_1,1391178,Villarreal,Sevilla,NS,92.36,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,3.62,14.84,2.99,-0.66,16.0,24.78,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,18.89,11.03,0.911,0.925,0.38,0.467,-0.24,-0.066,FULL,FULL,-0.087,2.0,2.0,3.0,3.0,0.7,0.7,SUPPORTED,SUPPORTED,POLLUTED,4.0,6.0,1.0,1.0,FULL,FULL,3.6,6.0,HIGH,HIGH,FULL,9.6,0.0,0.1,4.0,6.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,585.23,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,3.0,13.0,69.0,40.0,25.0,-13.0,1.0,0.0,2.125,0.875,2.0,0.875,1.0,1.75,0.875,0.625,0.0,0.125,0.875,0.5,0.875,0.75,0.625,0.375,8.0,8.0,5.0,5.0,1.0,1.0,12.2,10.8,12.8,9.8,4.2,1.8,3.6,3.2,45.4,40.0,4.2,5.6,7.4,4.2,11.0,13.4,2.4,3.0,1.8,2.0,3.6,3.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,France,Ligue 1,TIER_1,1387952,Lens,Paris Saint Germain,NS,91.8,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,6.31,20.0,3.8,-0.52,7.59,-6.9,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.18,19.97,0.895,0.976,0.314,0.599,-0.372,0.198,PARTIAL,FULL,-0.285,2.0,1.0,2.0,2.0,0.75,0.4,SUPPORTED,PARTIAL,POLLUTED,6.0,14.0,1.0,1.0,FULL,FULL,6.0,14.0,HIGH,HIGH,FULL,20.0,0.0,0.1,6.0,14.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.23,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,1.0,67.0,73.0,29.0,44.0,1.0,1.0,1.75,2.125,2.25,2.375,1.625,1.125,0.875,1.0,0.125,0.5,0.75,0.5,0.875,1.0,0.75,0.625,8.0,8.0,5.0,5.0,1.0,1.0,22.4,16.4,8.4,10.0,7.8,6.8,2.2,4.4,64.4,57.2,8.4,6.6,2.2,3.8,11.0,9.4,1.8,2.2,2.0,1.2,5.2,4.6,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Scotland,Premiership,TIER_2,1540030,Motherwell,Celtic,NS,90.1,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,5.02,18.08,3.8,-0.06,16.0,-16.01,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,13.35,19.84,1.0,0.984,0.717,0.621,0.434,0.242,FULL,PARTIAL,0.096,1.0,1.0,4.0,3.0,0.35,0.35,SUPPORTED,SUPPORTED,MIXED,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.13,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,4.0,2.0,58.0,76.0,23.0,29.0,0.5,1.0,0.875,2.375,1.25,2.125,1.75,1.0,0.75,0.75,0.25,0.25,0.625,0.625,0.75,0.75,0.625,0.625,8.0,8.0,5.0,5.0,1.0,1.0,11.2,16.25,13.0,7.0,4.2,5.8,4.4,2.6,55.4,60.0,4.4,6.8,4.2,4.6,11.8,12.4,2.8,1.6,2.8,2.25,2.6,5.75,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Scotland,Premiership,TIER_2,1540029,Heart Of Midlothian,Falkirk,NS,88.5,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.07,17.43,3.42,0.02,16.0,19.22,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,19.07,13.15,0.993,1.013,0.673,0.798,0.346,0.596,FULL,PARTIAL,-0.125,1.0,1.0,4.0,3.0,0.35,0.35,SUPPORTED,SUPPORTED,MIXED,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.14,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,6.0,77.0,49.0,32.0,-6.0,1.0,0.0,2.375,1.375,1.5,1.5,0.75,1.875,0.875,0.875,0.375,0.25,0.5,0.75,0.5,0.75,0.5,0.625,8.0,8.0,5.0,4.0,1.0,0.8,16.0,12.0,10.4,15.5,5.6,4.0,2.2,6.5,57.4,45.5,5.6,3.25,4.4,5.25,10.8,13.25,1.8,3.25,1.0,1.5,4.0,2.0,PARTIAL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Scotland,Premiership,TIER_2,1540031,Rangers,Hibernian,NS,85.96,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,3.13,18.01,3.65,-0.38,13.82,12.56,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,20.0,13.03,0.975,0.93,0.782,0.81,0.564,0.62,FULL,FULL,-0.028,2.0,4.0,3.0,1.0,0.7,1.2,SUPPORTED,SUPPORTED,POLLUTED,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,705.13,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,3.0,5.0,69.0,54.0,31.0,14.0,0.5,0.0,1.75,1.125,2.5,1.25,1.625,1.25,0.875,0.625,0.25,0.375,0.75,0.5,0.75,0.75,0.75,0.625,8.0,8.0,5.0,5.0,1.0,1.0,17.6,4.8,9.4,17.0,7.0,1.4,3.6,4.4,57.4,36.4,5.2,2.0,2.8,7.6,12.8,8.4,1.6,3.0,1.333,2.2,4.8,1.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Japan,J1 League,TIER_2,1504768,Vissel Kobe,Kyoto Sanga,NS,85.82,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,4.04,18.76,3.8,0.34,12.02,10.93,COVERAGE_RICH,0.95,1,1.0,1.0,0.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,16.78,16.19,1.048,1.036,0.8,0.723,0.6,0.446,FULL,FULL,0.077,0.0,0.0,5.0,5.0,0.0,0.0,SUPPORTED,SUPPORTED,CLEAN,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,165.19,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,2.0,9.0,28.0,20.0,3.0,-2.0,1.0,0.0,1.875,1.125,1.625,1.375,1.375,1.5,0.75,0.75,0.25,0.0,0.625,0.75,0.875,1.0,0.5,0.5,8.0,8.0,5.0,5.0,1.0,1.0,12.6,14.6,12.4,11.6,4.0,5.2,5.0,2.4,56.6,53.0,5.0,6.6,4.0,7.0,8.0,10.8,1.6,3.0,3.2,2.2,2.4,3.8,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Spain,La Liga,TIER_1,1391172,Espanyol,Athletic Club,NS,83.72,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,30,28.0,2.78,13.47,3.08,-0.08,9.57,-8.7,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,11.68,14.41,0.998,0.982,0.709,0.608,0.418,0.216,FULL,FULL,0.101,1.0,1.0,4.0,4.0,0.35,0.35,SUPPORTED,SUPPORTED,MIXED,8.0,8.0,1.0,1.0,FULL,FULL,7.2,8.0,HIGH,HIGH,FULL,15.2,0.0,0.1,8.0,8.0,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,585.25,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,17.0,9.0,39.0,44.0,-15.0,-11.0,1.0,0.0,0.375,1.125,0.5,1.25,1.5,1.75,0.5,0.625,0.25,0.125,0.5,0.5,0.625,0.75,0.375,0.625,8.0,8.0,5.0,5.0,1.0,1.0,11.8,10.2,15.8,8.6,2.6,3.2,6.2,4.6,36.8,52.0,4.4,6.8,5.4,3.6,16.4,12.6,3.8,2.25,2.6,0.75,3.2,3.0,FULL,TEAM_LAST_8_ALL_COMPETITIONS
2026-05-13,Netherlands,Eerste Divisie,TIER_2,1544690,Almere City FC,Willem II,NS,82.58,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,OK_FULL_STATS,23,28.0,5.09,18.53,2.28,-0.13,7.96,-7.24,COVERAGE_RICH,0.95,1,1.0,1.0,1.0,1.0,1.0,0.95,0.0,OFFICIAL_API,,14.85,18.62,0.995,0.972,0.475,0.544,-0.05,0.088,SPARSE,PARTIAL,-0.069,0.0,1.0,2.0,3.0,0.05,0.35,PARTIAL,SUPPORTED,MIXED,,,0.0,0.0,NONE,NONE,,,UNKNOWN,UNKNOWN,NONE,0.0,0.0,0.0,,,0.0,0.0,NONE,NONE,NONE,INACTIVE,90.0,645.21,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,0.0,5.0,3.0,58.0,68.0,15.0,17.0,0.5,1.0,1.875,2.625,2.375,1.875,1.625,0.5,1.0,0.875,0.125,0.625,0.875,0.25,1.0,0.625,1.0,0.5,8.0,8.0,2.0,4.0,0.4,0.8,17.0,13.5,11.0,11.25,6.5,5.5,5.5,2.25,51.0,44.75,6.0,6.75,2.5,5.5,11.5,8.75,1.0,1.25,1.0,1.667,2.5,4.25,SPARSE,TEAM_LAST_8_ALL_COMPETITIONS
