summary_scope,rows_processed,home_full_or_partial,away_full_or_partial,avg_home_opponent_strength,avg_away_opponent_strength,standings_api_calls,standings_cache_hits,standings_errors,generated_at_utc,flag,rows
overall,17.0,16.0,17.0,0.569,0.613,14.0,156.0,0.0,2026-05-13T13:38:46.748649+00:00,,
home_quality_flag,,,,,,,,,,FULL,14.0
home_quality_flag,,,,,,,,,,PARTIAL,2.0
home_quality_flag,,,,,,,,,,SPARSE,1.0
away_quality_flag,,,,,,,,,,FULL,13.0
away_quality_flag,,,,,,,,,,PARTIAL,4.0
