league_tier,vsigma_priority,market_family_hint,matches
TIER_1,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,4
TIER_1,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2
TIER_1,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1
TIER_2,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6
TIER_2,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,3
TIER_2,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,1
TIER_3,NO_DATA_BLOCKED,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,5
