mode,segment,rows,settled_rows,wins,losses,pushes,hit_rate,profit_units,roi_percent,brier_score,max_drawdown
BASELINE_OFFICIAL,OVERALL,9,9,7,2,0,77.777778,2.03,22.555556,0.16861,-1.67
SHADOW_CANDIDATE_V2,OVERALL,8,8,6,2,0,75.0,1.67,20.875,0.183962,-2.0
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,OVERALL,6,6,4,2,0,66.666667,0.25,4.166667,0.23097,-1.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,OVERALL,8,8,6,2,0,75.0,1.67,20.875,0.183962,-2.0
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,OVERALL,6,6,4,2,0,66.666667,0.25,4.166667,0.230726,-1.0
