mode,league,rows,settled_rows,wins,losses,profit_units,roi_percent,hit_rate
BASELINE_OFFICIAL,CONMEBOL Libertadores,4,4,3,1,0.28,7.0,75.0
BASELINE_OFFICIAL,La Liga,1,1,0,1,-1.0,-100.0,0.0
BASELINE_OFFICIAL,Segunda División,2,2,2,0,1.5,75.0,100.0
BASELINE_OFFICIAL,Serie B,1,1,1,0,0.33,33.0,100.0
BASELINE_OFFICIAL,UEFA Europa League,1,1,1,0,0.92,92.0,100.0
SHADOW_CANDIDATE_V2,Allsvenskan,1,1,1,0,0.3,30.0,100.0
SHADOW_CANDIDATE_V2,CONMEBOL Libertadores,3,3,2,1,-0.05,-1.666667,66.666667
SHADOW_CANDIDATE_V2,La Liga,1,1,0,1,-1.0,-100.0,0.0
SHADOW_CANDIDATE_V2,Segunda División,2,2,2,0,1.5,75.0,100.0
SHADOW_CANDIDATE_V2,UEFA Europa League,1,1,1,0,0.92,92.0,100.0
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,Allsvenskan,1,1,1,0,0.3,30.0,100.0
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,CONMEBOL Libertadores,3,3,2,1,-0.05,-1.666667,66.666667
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,La Liga,1,1,0,1,-1.0,-100.0,0.0
SHADOW_CANDIDATE_V4_O25_LOW_CONVERSION_FIREWALL,Segunda División,1,1,1,0,1.0,100.0,100.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,Allsvenskan,1,1,1,0,0.3,30.0,100.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,CONMEBOL Libertadores,3,3,2,1,-0.05,-1.666667,66.666667
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,La Liga,1,1,0,1,-1.0,-100.0,0.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,Segunda División,2,2,2,0,1.5,75.0,100.0
SHADOW_CANDIDATE_V5_PLAYER_IMPACT,UEFA Europa League,1,1,1,0,0.92,92.0,100.0
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,Allsvenskan,1,1,1,0,0.3,30.0,100.0
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,CONMEBOL Libertadores,3,3,2,1,-0.05,-1.666667,66.666667
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,La Liga,1,1,0,1,-1.0,-100.0,0.0
SHADOW_CANDIDATE_V6_API_PREDICTIONS_BENCHMARK,Segunda División,1,1,1,0,1.0,100.0,100.0
