market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,2.0,0.0,0.0,0.0,0.0,,,0.207,by_market_primary,,
BTTS_YES,1.0,1.0,1.0,0.0,0.0,1.0,1.02,0.2657,by_market_primary,,
HOME_WIN,2.0,0.0,0.0,0.0,0.0,,,0.262,by_market_primary,,
OVER_1_5,10.0,6.0,6.0,0.0,0.0,1.0,2.46,0.1431,by_market_primary,,
OVER_2_5,2.0,0.0,0.0,0.0,0.0,,,0.2169,by_market_primary,,
UNDER_3_5,2.0,0.0,0.0,0.0,0.0,,,0.066,by_market_primary,,
,2.0,1.0,1.0,0.0,0.0,1.0,0.0,,by_edge_floor_band,NO_ODDS,
,1.0,1.0,1.0,0.0,0.0,1.0,0.42,0.0205,by_edge_floor_band,PLAYABLE,
,16.0,5.0,5.0,0.0,0.0,1.0,3.06,0.1809,by_edge_floor_band,STRONG,
,3.0,1.0,1.0,0.0,0.0,1.0,0.6,0.2443,by_execution_verdict,,CORE_SHORTLIST
,2.0,1.0,1.0,0.0,0.0,1.0,1.02,0.227,by_execution_verdict,,TOP_CORE
,14.0,5.0,5.0,0.0,0.0,1.0,1.86,0.1517,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,10.0,4.0,4.0,0.0,0.0,1.0,2.72,0.216,actionable_summary,,
