date,result,provider,fixtures_returned,fixture_id,status_short,home_team,away_team,score_fulltime_home,score_fulltime_away
2026-05-20,OK,API-SPORTS_DIRECT,263.0,,,,,,
2026-05-20T20:00:00+01:00,MATCHED,,,1544596.0,FT,SC Freiburg,Aston Villa,0.0,3.0
2026-05-20T23:00:00+01:00,MATCHED,,,1535206.0,FT,Boston River,O'Higgins,3.0,2.0
2026-05-20T23:00:00+01:00,MATCHED,,,1535212.0,FT,Olimpia,Vasco DA Gama,3.0,1.0
2026-05-20T23:00:00+01:00,MATCHED,,,1535216.0,FT,Santos,San Lorenzo,2.0,2.0
2026-05-20T23:00:00+01:00,MATCHED,,,1535308.0,FT,Club Nacional,Universitario,0.0,0.0
