league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
3,UEFA Europa League,World,2025,Cup,1,2025-07-10,2026-05-20,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:03.846942+00:00
11,CONMEBOL Sudamericana,World,2026,Cup,1,2026-03-03,2026-05-29,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:04.243451+00:00
13,CONMEBOL Libertadores,World,2026,Cup,1,2026-02-04,2026-05-29,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:04.644319+00:00
89,Eerste Divisie,Netherlands,2025,League,1,2025-08-08,2026-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:05.041404+00:00
94,Primeira Liga,Portugal,2025,League,1,2025-08-08,2026-05-28,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:05.443228+00:00
103,Eliteserien,Norway,2026,League,1,2026-03-14,2026-12-06,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:05.847083+00:00
113,Allsvenskan,Sweden,2026,League,1,2026-04-04,2026-11-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:06.243841+00:00
136,Serie B,Italy,2025,League,1,2025-08-22,2026-05-22,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:06.639375+00:00
233,Premier League,Egypt,2025,League,1,2025-08-08,2026-05-28,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:07.039542+00:00
244,Veikkausliiga,Finland,2026,League,1,2026-04-04,2026-08-31,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-19T23:43:07.443379+00:00
382,Liga Leumit,Israel,2025,League,1,2025-08-24,2026-05-25,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-19T23:43:07.848548+00:00
917,Copa Ecuador,Ecuador,2025,Cup,1,2026-04-07,2026-06-04,1,0,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-19T23:43:08.239949+00:00
