target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,fixture_datetime,minutes_to_kickoff,official_action,executable_now,final_block_reason,retry_allowed,next_retry_time,data_gap_flags,execution_family_status,decision_source,prelock_retained,prelock_decision,prelock_decision_reason,exclusion_reason,prelock_lineup_state,prelock_odds_state,prelock_availability_state
2026-05-20,2026-05-20T00:45:40+01:00,1535312,CONMEBOL Libertadores,Santa Fe,Platense,OVER_1_5,2026-05-20T01:00+01:00,14.32,EXECUTABLE,YES,NONE,NO,,ODDS_MISSING;AVAILABILITY_MISSING,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,YES,PRELOCK_CONFIRMED,lineups confirmed,PRELOCK_CONFIRMED,LINEUPS_CONFIRMED,ODDS_NOT_AVAILABLE,AVAILABILITY_NOT_AVAILABLE
2026-05-20,2026-05-20T00:45:40+01:00,1494229,Allsvenskan,Gais,Hammarby FF,OVER_2_5,2026-05-20T18:00+01:00,1034.32,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-20T17:00+01:00,,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,NO,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,,,
2026-05-20,2026-05-20T00:45:40+01:00,1544596,UEFA Europa League,SC Freiburg,Aston Villa,OVER_1_5,2026-05-20T20:00+01:00,1154.32,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-20T19:00+01:00,,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,NO,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,,,
