summary_scope,metric,rows_total,value_num,value_text,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
overall,shortlist_rows,2,2.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,result_available_rows,2,2.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,pending_rows,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,unmatched_rows,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,bet_rows,2,2.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,lean_play_rows,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,premium_rows,2,2.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,standard_rows,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,wins,2,1.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,losses,2,1.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,pushes,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,voids,2,0.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,profit_units_total,2,-0.52,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,roi_percent,2,-26.0,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,avg_execution_score,2,114.223248,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
overall,avg_primary_edge,2,0.158432,,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_final_execution_bucket,shortlist_rows,2,2.0,APPROVED_PREMIUM,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_final_execution_bucket,result_available_rows,2,2.0,APPROVED_PREMIUM,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
