summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,5,5,2,2,0,78.492,0.128557,11.0,7.8,3.2,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,2,2,2,2,0,79.38,0.158432,15.0,13.0,2.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,3,3,0,0,0,77.9,0.10864,8.3333,4.3333,4.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,2,2,2,2,0,79.38,0.158432,15.0,13.0,2.0,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,90.25,0.266037,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,2,2,0,0,0,71.725,0.029941,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,2,2,2,2,0,79.38,0.158432,15.0,13.0,2.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,3,3,0,0,0,77.9,0.10864,8.3333,4.3333,4.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,1,1,1,1,0,77.83,0.169224,17.0,13.0,4.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,1,1,1,1,0,80.93,0.147641,13.0,13.0,0.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,3,3,0,0,0,77.9,0.10864,8.3333,4.3333,4.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,2,2,2,2,0,79.38,0.158432,15.0,13.0,2.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,90.25,0.266037,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,2,2,0,0,0,71.725,0.029941,0.0,0.0,0.0,0.0
