target_date,generated_at,fixture_id,league,country,home_team,away_team,team_side,source_name,source_url,probable_xi,input_file,import_status,import_reason,quality_score,quality_notes,auto_apply,production_change
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,home,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_600513.html,celic;ekstrom;castegren;anker;krusnell;svensson;heier;lindberg;jonsson;ure;bjerkebo,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,away,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_600513.html,wallinder;iqbal;noren;tidstrand;granath;gustavsson;thorell;arrhenius;manneh;bergstrom;samuelson,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,home,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_577237.html,diawara;voelkerling;sandberg;anker;widgren;lindberg;heier;walta;bjerkebo;ure;persson,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,away,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_577237.html,tornqvist;pettersson;noren;iqbal;johansson;gustavsson;rojkjaer;stavitski;gustafson;bergstrom;manneh,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,home,sportsmole,https://www.sportsmole.co.uk/football/mjallby-aif/preview/mjallby-aif-vs-sirius-prediction-team-news-lineups_577990.html,celic;castegren;sandberg;anker;widgren;heier;lindberg;bjerkebo;svensson;walta;ure,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,away,sportsmole,https://www.sportsmole.co.uk/football/mjallby-aif/preview/mjallby-aif-vs-sirius-prediction-team-news-lineups_577990.html,tornqvist;noren;kiilerich;pettersson;johansson;gustavsson;thorell;stroud;gustafson;manneh,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,0.909,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,home,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_519266.html,tannander;voelkerling;nwadike;castegren;widgren;matthews;roche;stensson;heier;abou ali;persson,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,away,sportsmole,https://www.sportsmole.co.uk/football/sirius/preview/sirius-vs-mjallby-aif-prediction-team-news-lineups_519266.html,tornqvist;eile;rosler;pettersson;stahl;gustafson;gustavsson;brorsson;stroud;fenger;moro,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,home,sportsmole,https://www.sportsmole.co.uk/football/mjallby-aif/preview/mjallby-aif-vs-sirius-prediction-team-news-lineups_547435.html,tannander;castegren;nwadike;jeng;widgren;stensson;walta;milleskog;lindberg;heier;salech,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,1.000,quality_ok,NO,NO
2026-07-04,2026-07-04T10:37:08+01:00,1494200,,,Sirius,Mjallby AIF,away,sportsmole,https://www.sportsmole.co.uk/football/mjallby-aif/preview/mjallby-aif-vs-sirius-prediction-team-news-lineups_547435.html,tornqvist;brorsson;rosler;t pettersson;johansson;rojkjaer;gustavsson;stahl;gustafson;bergstrom,data/processed/today/2026-07-04/probable_lineup_sources_autonomous.csv,IMPORTED,OK,0.909,quality_ok,NO,NO
