target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,adapter_status,allowed_downstream_use,review_priority,review_board_status,review_reason,manual_review_required,canonical_board_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-08,2026-06-09T21:30:24+01:00,1512935,Panthère,Victoria United,Elite One,Cameroon,2026-06-07T14:30:00+00:00,FT,55,MEDIUM_SIGNAL_REVIEW,prediction_winner=Panthère | pred_total_home_away=60.0/40.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1547532,Foncha ST,Tonnerre,Elite Two,Cameroon,2026-06-08T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tonnerre | pred_total_home_away=35.0/65.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1547533,Sable,Bafmeng United,Elite Two,Cameroon,2026-06-08T14:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sable | pred_total_home_away=68.5/31.5,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1505175,Järfälla,Stocksund,Ettan - Norra,Sweden,2026-06-08T17:30:00+00:00,FT,59,MEDIUM_SIGNAL_REVIEW,prediction_winner=Järfälla | pred_total_home_away=51.5/48.7 | 1x2=1.70/4.20/3.70 | ou2.5=2.40/1.50,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1505178,Stockholm Internazionale,Vasalund,Ettan - Norra,Sweden,2026-06-08T17:00:00+00:00,FT,82,HIGH_SIGNAL_REVIEW,prediction_winner=Stockholm Internazionale | pred_total_home_away=59.2/40.8 | 1x2=1.73/3.80/3.90 | ou2.5=1.53/2.38,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1504451,Angelholms FF,Olympic,Ettan - Södra,Sweden,2026-06-08T17:00:00+00:00,FT,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Olympic | pred_total_home_away=46.7/53.5 | 1x2=2.20/3.55/2.75 | ou2.5=1.62/2.20,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1504458,Utsikten,Rosengård,Ettan - Södra,Sweden,2026-06-08T17:30:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Rosengård | pred_total_home_away=34.7/65.3 | 1x2=5.50/4.10/1.48 | ou2.5=1.65/2.15,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1550045,Baghdad,Karbala,Iraqi League,Iraq,2026-06-08T15:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Baghdad | pred_total_home_away=71.0/29.0,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1541619,Kiffen,PuiU Helsinki,Kakkonen - Lohko A,Finland,2026-06-08T16:00:00+00:00,FT,90,HIGH_SIGNAL_REVIEW,prediction_winner=Kiffen | pred_total_home_away=71.0/29.0 | 1x2=1.57/4.00/4.20,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1546413,Atletico Nacional,Junior,Primera A,Colombia,2026-06-08T22:00:00+00:00,FT,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Atletico Nacional | pred_total_home_away=49.3/50.7 | 1x2=1.51/4.20/5.80 | ou2.5=1.80/1.77,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1499461,UAI Urquiza,Liniers,Primera B Metropolitana,Argentina,2026-06-08T18:30:00+00:00,FT,82,HIGH_SIGNAL_REVIEW,prediction_winner=Liniers | pred_total_home_away=40.8/59.3 | 1x2=2.60/2.70/2.90 | ou2.5=2.90/1.36,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1499930,Berazategui,Juventud Unida,Primera C,Argentina,2026-06-08T18:30:00+00:00,FT,76,HIGH_SIGNAL_REVIEW,prediction_winner=Berazategui | pred_total_home_away=57.3/43.0 | 1x2=1.55/3.40/6.40 | ou2.5=2.15/1.65,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1538384,Blooming,Gualberto Villarroel SJ,Primera División,Bolivia,2026-06-07T23:30:00+00:00,PST,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Blooming | pred_total_home_away=65.3/34.7,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1546812,Liverpool Montevideo,Cerro Largo,Primera División - Apertura,Uruguay,2026-06-08T22:00:00+00:00,FT,69,MEDIUM_SIGNAL_REVIEW,prediction_winner=Liverpool Montevideo | pred_total_home_away=54.8/45.3 | 1x2=1.88/3.30/3.95 | ou2.5=2.15/1.65,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1530973,Jayxun,Aral,Pro League A,Uzbekistan,2026-06-08T13:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Aral | pred_total_home_away=29.8/70.2 | 1x2=5.80/3.50/1.50 | ou2.5=1.90/1.73,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1530975,Metalourg,FarDu,Pro League A,Uzbekistan,2026-06-08T14:00:00+00:00,FT,67,MEDIUM_SIGNAL_REVIEW,prediction_winner=Metalourg | pred_total_home_away=64.3/35.8,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1529109,Provincial Ovalle,Trasandino,Segunda División,Chile,2026-06-08T19:30:00+00:00,FT,80,HIGH_SIGNAL_REVIEW,prediction_winner=Trasandino | pred_total_home_away=41.5/58.5 | 1x2=2.15/3.25/3.10 | ou2.5=1.95/1.77,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-08,2026-06-09T21:30:24+01:00,1504192,Kooteepee,Haka,Ykkösliiga,Finland,2026-06-08T15:30:00+00:00,FT,82,HIGH_SIGNAL_REVIEW,prediction_winner=Kooteepee | pred_total_home_away=59.2/40.8 | 1x2=1.95/3.30/3.45 | ou2.5=1.93/1.80,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
