comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,baseline_market,candidate_v2_market,baseline_raw_prob,candidate_v2_raw_prob,baseline_calibrated_prob,candidate_v2_calibrated_prob,baseline_confidence_score,candidate_v2_confidence_score,baseline_bucket,candidate_v2_bucket,baseline_main_reason,candidate_v2_main_reason,baseline_primary_risk,candidate_v2_primary_risk,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
BOTH,1492260,Atletico Paranaense vs Flamengo,Serie A,2,2,OVER_1_5,OVER_1_5,0.8815,0.8833,0.8015,0.8033,123.472,123.74,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-17,2026-05-17T11:53:28+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-17-20260517T115328Z
BOTH,1544950,Catanzaro vs Palermo,Serie B,1,1,OVER_1_5,OVER_1_5,0.9074,0.9096,0.8274,0.8296,127.553,127.988,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_STRONG,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,FAILURE_MODE_LOW_CONVERSION,2026-05-17,2026-05-17T11:53:28+00:00,PRE,COMPARISON,NO_DATE_COLUMN,2026-05-17-20260517T115328Z
