target_date,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,prelock_retained,prelock_decision,prelock_decision_reason,exclusion_reason,decision_state,decision_reason,next_action
2026-05-17,1544950,Serie B,Catanzaro,Palermo,OVER_1_5,0.8274,127.553,FAILURE_MODE_LOW_CONVERSION,2026-05-17T19:00+01:00,-132.61,NO,,,KICKOFF_ALREADY_PASSED,POST_PENDING,Kickoff has passed and post-result grading is still pending.,WAIT_FOR_POST_RESULTS
2026-05-17,1492260,Serie A,Atletico Paranaense,Flamengo,OVER_1_5,0.8015,123.472,FAILURE_MODE_LOW_CONVERSION,2026-05-17T23:30+01:00,137.39,NO,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAITING_FOR_PRELOCK_WINDOW,Candidate is outside the configured prelock window.,WAIT_UNTIL_2026-05-17T22:00+01:00
