target_date,fixture_id,league,home_team,away_team,market_primary,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,fixture_datetime,minutes_to_kickoff,official_action,executable_now,final_block_reason,retry_allowed,next_retry_time,data_gap_flags,execution_family_status,prelock_retained,prelock_decision,prelock_decision_reason,exclusion_reason,decision_state,decision_reason,next_action
2026-05-24,1392207,Segunda División,Sporting Gijon,Almeria,OVER_2_5,0.841525,142.569,FAILURE_MODE_LOW_CONVERSION,2026-05-24T17:30+01:00,15.74,NO_BET,NO,PRELOCK_GOVERNANCE_NOT_RETAINED,NO,,,PRELOCK_NOT_RETAINED,NO,,,IN_WINDOW_BUT_NOT_RETAINED,IN_WINDOW_BUT_BLOCKED,Candidate is in the prelock window but was not retained by PRELOCK.,CHECK_ODDS_LINEUPS_AVAILABILITY_OR_V7_GOVERNANCE
2026-05-24,1545796,Serie B,Catanzaro,Monza,OVER_1_5,0.819,125.787,FAILURE_MODE_LOW_CONVERSION,2026-05-24T19:00+01:00,105.74,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-24T18:00+01:00,,WAITING_FOR_WINDOW,NO,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAITING_FOR_PRELOCK_WINDOW,Candidate is outside the configured prelock window.,WAIT_UNTIL_2026-05-24T18:00+01:00
2026-05-24,1492276,Serie A,Remo,Atletico Paranaense,OVER_1_5,0.7612,110.058,FAILURE_MODE_LOW_CONVERSION,2026-05-24T20:00+01:00,165.74,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-24T19:00+01:00,,WAITING_FOR_WINDOW,NO,,,OUTSIDE_90_MIN_PRELOCK_WINDOW,WAITING_FOR_PRELOCK_WINDOW,Candidate is outside the configured prelock window.,WAIT_UNTIL_2026-05-24T19:00+01:00
