market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,6.0,6.0,5.0,1.0,0.0,0.8333,3.36,0.2103,by_market_primary,,
BTTS_YES,2.0,2.0,2.0,0.0,0.0,1.0,1.1,0.1236,by_market_primary,,
HOME_WIN,3.0,3.0,2.0,1.0,0.0,0.6667,0.57,0.1392,by_market_primary,,
OVER_1_5,11.0,11.0,7.0,4.0,0.0,0.6364,-1.94,0.0557,by_market_primary,,
OVER_2_5,18.0,18.0,10.0,8.0,0.0,0.5556,-1.18,0.1718,by_market_primary,,
UNDER_3_5,4.0,4.0,4.0,0.0,0.0,1.0,2.29,0.0628,by_market_primary,,
,2.0,2.0,2.0,0.0,0.0,1.0,0.44,-0.0043,by_edge_floor_band,NEGATIVE,
,4.0,4.0,2.0,2.0,0.0,0.5,-0.97,0.032,by_edge_floor_band,PLAYABLE,
,37.0,37.0,25.0,12.0,0.0,0.6757,4.36,0.1556,by_edge_floor_band,STRONG,
,1.0,1.0,1.0,0.0,0.0,1.0,0.37,0.0085,by_edge_floor_band,THIN,
,3.0,3.0,2.0,1.0,0.0,0.6667,0.32,0.1577,by_execution_verdict,,CORE_SHORTLIST
,2.0,2.0,2.0,0.0,0.0,1.0,0.44,-0.0043,by_execution_verdict,,NO_BET
,2.0,2.0,2.0,0.0,0.0,1.0,1.25,0.1539,by_execution_verdict,,TOP_CORE
,37.0,37.0,24.0,13.0,0.0,0.6486,2.19,0.1381,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,18.0,18.0,13.0,5.0,0.0,0.7222,3.8,0.1886,actionable_summary,,
