target_date,generated_at,close_rank,issue_type,severity,fixture_id,home_team,away_team,market_primary,field_name,current_value,close_state,close_reason,next_action,source_file,auto_fix,production_change,guardrail_status
2026-05-24,2026-05-24T10:11:29+01:00,11,PRELOCK_OPEN_ITEM,P2,1504827,Tokyo Verdy,Yokohama F. Marinos,OVER_1_5,lineup_activation_state,INACTIVE,WAIT_PRELOCK,BET row still needs prelock/lineup timing confirmation.,RUN_PRELOCK_IN_WINDOW,data/processed/today/2026-05-24/vsigma_today_execution_shortlist.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,12,PRELOCK_OPEN_ITEM,P2,1537007,Club Brugge KV,Gent,HOME_WIN,lineup_activation_state,INACTIVE,WAIT_PRELOCK,BET row still needs prelock/lineup timing confirmation.,RUN_PRELOCK_IN_WINDOW,data/processed/today/2026-05-24/vsigma_today_execution_shortlist.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,13,PRELOCK_OPEN_ITEM,P2,1545796,Catanzaro,Monza,OVER_1_5,lineup_activation_state,INACTIVE,WAIT_PRELOCK,BET row still needs prelock/lineup timing confirmation.,RUN_PRELOCK_IN_WINDOW,data/processed/today/2026-05-24/vsigma_today_execution_shortlist.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,14,NO_SIGNAL,P3,,,,UNKNOWN,improvement_signal,EMPTY,ENRICH_AFTER_POST,improvement_signal is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,15,NO_SIGNAL,P3,1392205,Huesca,Castellón,OVER_2_5,improvement_signal,EMPTY,ENRICH_AFTER_POST,improvement_signal is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,16,NO_SIGNAL,P3,1392205,Huesca,Castellón,OVER_1_5,improvement_signal,EMPTY,ENRICH_AFTER_POST,improvement_signal is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,17,UNKNOWN_FAMILY,P3,,,,UNKNOWN,learning_family,UNRESOLVED,ENRICH_AFTER_POST,learning_family is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,18,UNKNOWN_FAMILY,P3,1392205,Huesca,Castellón,OVER_2_5,learning_family,UNRESOLVED,ENRICH_AFTER_POST,learning_family is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,19,UNKNOWN_FAMILY,P3,1392205,Huesca,Castellón,OVER_1_5,learning_family,UNRESOLVED,ENRICH_AFTER_POST,learning_family is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,20,UNKNOWN_RISK,P3,,,,UNKNOWN,accuracy_primary_risk,EMPTY,ENRICH_AFTER_POST,accuracy_primary_risk is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,21,UNKNOWN_RISK,P3,1392205,Huesca,Castellón,OVER_2_5,accuracy_primary_risk,EMPTY,ENRICH_AFTER_POST,accuracy_primary_risk is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
2026-05-24,2026-05-24T10:11:29+01:00,22,UNKNOWN_RISK,P3,1392205,Huesca,Castellón,OVER_1_5,accuracy_primary_risk,EMPTY,ENRICH_AFTER_POST,accuracy_primary_risk is empty or unresolved.,REBUILD_LEARNING_AFTER_POST,data/processed/today/2026-05-24/vsigma_learning_ledger.csv,NO,NO,EVIDENCE_CLOSER_REPORT_ONLY_NO_AUTO_WRITE
