league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
12,CAF Champions League,World,2025,Cup,1,2025-09-16,2026-05-24,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:45.346053+00:00
39,Premier League,England,2025,League,1,2025-08-15,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:45.747406+00:00
41,League One,England,2025,League,1,2025-08-01,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:46.155642+00:00
62,Ligue 2,France,2025,League,1,2025-08-09,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:46.557990+00:00
71,Serie A,Brazil,2026,League,1,2026-01-28,2026-12-02,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:46.958009+00:00
72,Serie B,Brazil,2026,League,1,2026-03-21,2026-11-14,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:47.348559+00:00
75,Serie C,Brazil,2026,League,1,2026-04-04,2026-08-30,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-24T11:54:47.752138+00:00
103,Eliteserien,Norway,2026,League,1,2026-03-14,2026-12-06,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:48.157789+00:00
113,Allsvenskan,Sweden,2026,League,1,2026-04-04,2026-11-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:48.541512+00:00
135,Serie A,Italy,2025,League,1,2025-08-23,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:48.946424+00:00
136,Serie B,Italy,2025,League,1,2025-08-22,2026-05-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:49.353867+00:00
140,La Liga,Spain,2025,League,1,2025-08-15,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:49.756069+00:00
141,Segunda División,Spain,2025,League,1,2025-08-15,2026-05-31,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:50.161171+00:00
144,Jupiler Pro League,Belgium,2025,League,1,2025-07-25,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:50.549353+00:00
204,1. Lig,Turkey,2025,League,1,2025-08-08,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:50.946473+00:00
253,Major League Soccer,USA,2026,League,1,2026-02-21,2026-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-24T11:54:51.353936+00:00
362,A Lyga,Lithuania,2026,League,1,2026-02-21,2026-06-21,1,1,1,1,1,0,0,0,0,1,0,0,0,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-24T11:54:51.755134+00:00
