summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,44,41,18,18,0,92.4364,0.133718,9.1591,5.6136,3.5455,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,18,18,18,18,0,93.7333,0.18863,17.3889,10.7222,6.6667,0.0
by_final_execution_bucket,BLOCKED,,,,,2,0,0,0,0,89.79,-0.004318,0.0,0.0,0.0,0.0
by_final_execution_bucket,DOWNGRADED,,,,,23,23,0,0,0,91.9261,0.108192,3.913,2.3478,1.5652,0.0
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,86.12,0.008473,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,18,18,18,18,0,93.7333,0.18863,17.3889,10.7222,6.6667,0.0
by_bucket_and_governance_status,BLOCKED,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,2,0,0,0,0,89.79,-0.004318,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,5,5,0,0,0,97.336,0.23011,18.0,10.8,7.2,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,18,18,0,0,0,90.4233,0.074326,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,86.12,0.008473,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,18,18,18,18,0,93.7333,0.18863,17.3889,10.7222,6.6667,0.0
by_bucket_and_final_recommendation,BLOCKED,,NO_BET,,,2,0,0,0,0,89.79,-0.004318,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,23,23,0,0,0,91.9261,0.108192,3.913,2.3478,1.5652,0.0
by_bucket_and_final_recommendation,WATCH,,WATCH,,,1,0,0,0,0,86.12,0.008473,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,3,3,3,3,0,102.5133,0.157678,13.3333,9.3333,4.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,103.725,0.153943,13.5,7.5,6.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,13,13,13,13,0,90.17,0.20111,18.9231,11.5385,7.3846,0.0
by_bucket_and_execution_verdict,BLOCKED,,,NO_BET,,2,0,0,0,0,89.79,-0.004318,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,23,23,0,0,0,91.9261,0.108192,3.913,2.3478,1.5652,0.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,1,0,0,0,0,86.12,0.008473,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,18,18,18,18,0,93.7333,0.18863,17.3889,10.7222,6.6667,0.0
by_bucket_and_best_evidence_tier,BLOCKED,,,,,2,0,0,0,0,89.79,-0.004318,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,5,5,0,0,0,97.336,0.23011,18.0,10.8,7.2,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,18,18,0,0,0,90.4233,0.074326,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,86.12,0.008473,0.0,0.0,0.0,0.0
