target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,source_status,discovery_reason,auto_apply,production_change
2026-08-10,2026-08-10T19:09:58+01:00,1496842,3. Division - Girone 3,Norway,Askøy,Sogndal II,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1496841,3. Division - Girone 3,Norway,Åsane II,Austevoll,2026-08-10T18:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1497024,3. Division - Girone 4,Norway,Haugesund II,Viking II,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1497208,3. Division - Girone 5,Norway,Kongsvinger II,Strømsgodset II,2026-08-10T15:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1497210,3. Division - Girone 5,Norway,Skjetten,Lillestrøm II,2026-08-10T18:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1497388,3. Division - Girone 6,Norway,Drøbak / Frogn,Sandefjord II,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1497390,3. Division - Girone 6,Norway,Lyn II,Fram,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1546095,Copa Paulista,Brazil,Marília,Bandeirante SP,2026-08-10T23:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1549122,Division 1,Kuwait,Al Sahel,Shamiya,2026-08-10T18:25:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1549124,Division 1,Kuwait,Khaitan,Al Jazira,2026-08-10T18:25:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1612420,Division Intermedia,Paraguay,Atlético Tembetary,General Caballero,2026-08-10T23:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1612419,Division Intermedia,Paraguay,Tacuary,Guairena FC,2026-08-10T20:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1610935,Division Profesional - Clausura,Paraguay,Libertad Asuncion,Sportivo Trinidense,2026-08-10T22:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
