target_date,generated_at,rank,fixture_id,home_team,away_team,market_primary,base_result,adjusted_status,audit_label,audit_effect_units,calibration_label,calibration_note,suggested_future_treatment
2026-05-23,2026-05-24T13:54:13+01:00,1,1378234,Bologna,Inter,AWAY_WIN,LOSS,BET_DOWNGRADED_TO_REVIEW,AVOIDED_LOSS,1.0,CONTEXT_FILTER_VALIDATED_CASE,Context downgrade avoided a losing base BET.,Keep as downgrade candidate; do not restore automatically.
2026-05-23,2026-05-24T13:54:13+01:00,2,1378237,Lazio,Pisa,HOME_WIN,WIN,BET_DOWNGRADED_TO_REVIEW,MISSED_WIN,-0.78,SOFTEN_CONTEXT_DOWNGRADE_CANDIDATE,Context downgrade missed a winning base BET; single sample is not enough for reversal.,"Future similar rows should be soft-review or reduced-stake, not automatic hard no-bet, until larger sample confirms."
2026-05-23,2026-05-24T13:54:13+01:00,3,1494182,Kalmar FF,Degerfors IF,OVER_1_5,WIN,SHADOW_RISK_ONLY,KEPT_WIN,0.38,SHADOW_KEEP_VALIDATED_CASE,Adjusted portfolio kept a winner despite shadow risk.,Keep as low/symbolic or live-confirmation candidate.
