comparison_status,fixture_id,fixture,league,baseline_rank,candidate_v2_rank,candidate_v4_rank,baseline_market,candidate_v2_market,candidate_v4_market,candidate_v4_original_market,candidate_v4_firewall_decision,baseline_result,candidate_v2_result,candidate_v4_result,baseline_profit_units,candidate_v2_profit_units,candidate_v4_profit_units,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
CANDIDATE_V2+CANDIDATE_V4,1392205,Huesca vs Castellón,Segunda División,,1.0,1.0,,OVER_2_5,OVER_1_5,OVER_2_5,DEGRADE_TO_OVER_1_5,,UNMATCHED,UNMATCHED,,,,2026-05-23,2026-05-24T11:51:50+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-23-20260524T115150Z
BASELINE,1392207,Sporting Gijon vs Almeria,Segunda División,1.0,,,OVER_2_5,,,,,UNMATCHED,,,,,,2026-05-23,2026-05-24T11:51:50+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-23-20260524T115150Z
BASELINE+CANDIDATE_V2,1504827,Tokyo Verdy vs Yokohama F. Marinos,J1 League,3.0,3.0,,OVER_1_5,OVER_1_5,,,,UNMATCHED,UNMATCHED,,,,,2026-05-23,2026-05-24T11:51:50+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-23-20260524T115150Z
BASELINE+CANDIDATE_V2+CANDIDATE_V4,1545796,Catanzaro vs Monza,Serie B,2.0,2.0,2.0,OVER_1_5,OVER_1_5,OVER_1_5,OVER_1_5,NOT_APPLIED,UNMATCHED,UNMATCHED,UNMATCHED,,,,2026-05-23,2026-05-24T11:51:50+00:00,POST,RESULT_COMPARISON,NO_DATE_COLUMN,2026-05-23-20260524T115150Z
