market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,5.0,5.0,1.0,4.0,0.0,0.2,-1.8,0.2945,by_market_primary,,
HOME_WIN,1.0,1.0,1.0,0.0,0.0,1.0,0.78,0.28,by_market_primary,,
OVER_1_5,10.0,10.0,6.0,4.0,0.0,0.6,-2.07,0.1171,by_market_primary,,
OVER_2_5,8.0,8.0,4.0,4.0,0.0,0.5,-1.09,0.1601,by_market_primary,,
UNDER_3_5,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0059,by_market_primary,,
,23.0,23.0,11.0,12.0,0.0,0.4783,-4.38,0.182,by_edge_floor_band,STRONG,
,2.0,2.0,1.0,1.0,0.0,0.5,-0.8,0.0127,by_edge_floor_band,THIN,
,1.0,1.0,1.0,0.0,0.0,1.0,0.78,0.28,by_execution_verdict,,CORE_SHORTLIST
,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.3407,by_execution_verdict,,TOP_CORE
,23.0,23.0,11.0,12.0,0.0,0.4783,-4.96,0.1561,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,11.0,11.0,6.0,5.0,0.0,0.5455,-1.02,0.206,actionable_summary,,
