country,league,league_tier,league_filter_reason,matches
Brazil,Serie D,REJECT,country_league_not_allowlisted,24
Germany,U19 Bundesliga,REJECT,hard_reject_noise_league,24
USA,USL League Two,REJECT,country_league_not_allowlisted,12
Spain,Primera División RFEF - Group 1,REJECT,country_league_not_allowlisted,10
USA,USL W League,REJECT,country_league_not_allowlisted,10
Argentina,Primera C,REJECT,country_league_not_allowlisted,9
Kosovo,Liga E Pare,REJECT,country_league_not_allowlisted,9
Netherlands,Derde Divisie - Saturday,REJECT,country_league_not_allowlisted,9
Netherlands,Derde Divisie - Sunday,REJECT,country_league_not_allowlisted,9
Netherlands,Tweede Divisie,REJECT,country_league_not_allowlisted,9
Poland,Ekstraklasa,REJECT,country_league_not_allowlisted,9
Romania,Liga III - Play-offs,REJECT,country_league_not_allowlisted,9
Switzerland,1. Liga Promotion,REJECT,country_league_not_allowlisted,9
Angola,Girabola,REJECT,country_league_not_allowlisted,8
Austria,Landesliga - Burgenland,REJECT,hard_reject_noise_league,8
Brazil,Baiano U20,REJECT,hard_reject_noise_league,8
Bulgaria,Second League,REJECT,country_league_not_allowlisted,8
Bulgaria,Third League - Southeast,REJECT,country_league_not_allowlisted,8
Bulgaria,Third League - Southwest,REJECT,country_league_not_allowlisted,8
Czech-Republic,FNL,REJECT,country_league_not_allowlisted,8
Germany,Oberliga - Hessen,REJECT,hard_reject_noise_league,8
Luxembourg,National Division,REJECT,country_league_not_allowlisted,8
Macedonia,Second League,REJECT,country_league_not_allowlisted,8
Serbia,Srpska Liga - West,REJECT,country_league_not_allowlisted,8
Spain,Primera División RFEF - Group 2,REJECT,country_league_not_allowlisted,8
Switzerland,1. Liga Classic - Group 1,REJECT,country_league_not_allowlisted,8
Switzerland,1. Liga Classic - Group 2,REJECT,country_league_not_allowlisted,8
Argentina,Primera Nacional,REJECT,country_league_not_allowlisted,7
Austria,Landesliga - Oberosterreich,REJECT,hard_reject_noise_league,7
Botswana,Premier League,REJECT,country_league_not_allowlisted,7
Croatia,Second NL,REJECT,country_league_not_allowlisted,7
Croatia,Third NL - Jug,REJECT,country_league_not_allowlisted,7
Czech-Republic,1. Liga U19,REJECT,hard_reject_noise_league,7
Indonesia,Liga 1,REJECT,country_league_not_allowlisted,7
Oman,Professional League,REJECT,country_league_not_allowlisted,7
Poland,Central Youth League,REJECT,hard_reject_noise_league,7
Russia,Second League - Group 1,REJECT,country_league_not_allowlisted,7
Russia,Second League - Group 3,REJECT,country_league_not_allowlisted,7
Serbia,Srpska Liga - Belgrade,REJECT,country_league_not_allowlisted,7
Serbia,Srpska Liga - Vojvodina,REJECT,country_league_not_allowlisted,7
Slovakia,3. liga - Center,REJECT,country_league_not_allowlisted,7
Slovakia,3. liga - East,REJECT,country_league_not_allowlisted,7
Slovenia,3. SNL - East,REJECT,hard_reject_noise_league,7
Switzerland,1. Liga Classic - Group 3,REJECT,country_league_not_allowlisted,7
Uganda,Premier League,REJECT,country_league_not_allowlisted,7
Ukraine,Persha Liga,REJECT,country_league_not_allowlisted,7
United-Arab-Emirates,Division 1,REJECT,country_league_not_allowlisted,7
Argentina,Primera B Metropolitana,REJECT,country_league_not_allowlisted,6
Belarus,1. Division,REJECT,country_league_not_allowlisted,6
Brazil,Carioca A2,REJECT,country_league_not_allowlisted,6
Brazil,Cearense U20,REJECT,hard_reject_noise_league,6
Czech-Republic,4. liga - Divizie B,REJECT,hard_reject_noise_league,6
Eswatini,Premier League,REJECT,country_league_not_allowlisted,6
Gabon,Championnat D1,REJECT,country_league_not_allowlisted,6
Germany,Oberliga - Baden-Württemberg,REJECT,hard_reject_noise_league,6
Poland,II Liga - East,REJECT,country_league_not_allowlisted,6
Poland,III Liga - Group 1,REJECT,country_league_not_allowlisted,6
Poland,III Liga - Group 2,REJECT,country_league_not_allowlisted,6
Poland,III Liga - Group 4,REJECT,country_league_not_allowlisted,6
Slovenia,3. SNL - West,REJECT,hard_reject_noise_league,6
Sweden,Division 2 - Norrland,REJECT,country_league_not_allowlisted,6
Bangladesh,Premier League,REJECT,country_league_not_allowlisted,5
Brazil,Catarinense U20,REJECT,hard_reject_noise_league,5
Brazil,Paulista Série B,REJECT,country_league_not_allowlisted,5
Czech-Republic,4. liga - Divizie A,REJECT,hard_reject_noise_league,5
Czech-Republic,4. liga - Divizie C,REJECT,hard_reject_noise_league,5
Iceland,2. Deild,REJECT,country_league_not_allowlisted,5
Kazakhstan,Premier League,REJECT,country_league_not_allowlisted,5
Kenya,Super League,REJECT,country_league_not_allowlisted,5
Poland,III Liga - Group 3,REJECT,country_league_not_allowlisted,5
Russia,Second League A - Division A Gold,REJECT,country_league_not_allowlisted,5
Serbia,Srpska Liga - East,REJECT,country_league_not_allowlisted,5
Slovakia,3. liga - West,REJECT,country_league_not_allowlisted,5
Slovenia,2. SNL,REJECT,country_league_not_allowlisted,5
Sweden,Elitettan,REJECT,country_league_not_allowlisted,5
Sweden,Ettan - Norra,REJECT,country_league_not_allowlisted,5
Austria,Landesliga - Vorarlbergliga,REJECT,hard_reject_noise_league,4
Belarus,Premier League,REJECT,country_league_not_allowlisted,4
Benin,Championnat National,REJECT,country_league_not_allowlisted,4
