league_id,league,country,season,league_type,coverage_season_current,coverage_season_start,coverage_season_end,league_has_fixtures_coverage,league_has_standings_coverage,league_has_odds_coverage,league_has_events_coverage,league_has_lineups_coverage,league_has_fixture_stats_coverage,league_has_player_stats_coverage,league_has_players_coverage,league_has_injuries_coverage,league_has_predictions_coverage,league_has_top_scorers_coverage,league_has_top_assists_coverage,league_has_top_cards_coverage,league_coverage_class,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,coverage_matrix_generated_at_utc
40,Championship,England,2025,League,1,2025-08-08,2026-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:00.759885+00:00
71,Serie A,Brazil,2026,League,1,2026-01-28,2026-12-02,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:01.166255+00:00
72,Serie B,Brazil,2026,League,1,2026-03-21,2026-11-14,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:01.554788+00:00
75,Serie C,Brazil,2026,League,1,2026-04-04,2026-08-30,1,1,1,1,1,0,0,1,0,1,1,1,1,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-23T07:41:01.993996+00:00
89,Eerste Divisie,Netherlands,2025,League,1,2025-08-08,2026-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:02.363932+00:00
98,J1 League,Japan,2026,League,1,2026-02-06,2026-05-24,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:02.762498+00:00
113,Allsvenskan,Sweden,2026,League,1,2026-04-04,2026-11-29,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:03.162870+00:00
135,Serie A,Italy,2025,League,1,2025-08-23,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:03.563953+00:00
140,La Liga,Spain,2025,League,1,2025-08-15,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:03.969062+00:00
144,Jupiler Pro League,Belgium,2025,League,1,2025-07-25,2026-05-24,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:04.356239+00:00
233,Premier League,Egypt,2025,League,1,2025-08-08,2026-05-28,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:04.761463+00:00
244,Veikkausliiga,Finland,2026,League,1,2026-04-04,2026-08-31,1,1,1,1,1,1,1,1,0,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:05.157255+00:00
253,Major League Soccer,USA,2026,League,1,2026-02-21,2026-11-08,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:05.556338+00:00
288,Premier Soccer League,South-Africa,2025,League,1,2025-08-09,2026-05-23,1,1,1,1,1,1,1,1,1,1,1,1,1,COVERAGE_RICH,1,0.95,OFFICIAL_API,,2026-05-23T07:41:05.963130+00:00
362,A Lyga,Lithuania,2026,League,1,2026-02-21,2026-06-21,1,1,1,1,1,0,0,0,0,1,0,0,0,COVERAGE_PARTIAL,0,0.7,OFFICIAL_API,,2026-05-23T07:41:06.365991+00:00
