shortlist_bucket,vsigma_priority,market_family_hint,matches
CORE_SHORTLIST,B_ANALIZAR,OVER_OR_BTTS_CHECK,2
CORE_SHORTLIST,B_ANALIZAR,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,1
TOP_CORE,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,2
WATCHLIST,B_ANALIZAR,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1
WATCHLIST,B_ANALIZAR,OVER_OR_BTTS_CHECK,1
