target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,downstream_use,scored_candidate_status,fixture_detail_available,predictions_available,odds_available,prediction_winner_name,pred_home_total_pct,pred_away_total_pct,match_winner_home_odd,match_winner_draw_odd,match_winner_away_odd,over_2_5_odd,under_2_5_odd,market_signal_summary,candidate_signal_score,candidate_signal_band,promotion_input_status,promotion_input_reason,promotion_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-07-17,2026-07-17T10:27:57+01:00,1554428,Malisheva,Vllaznia Shkodër,UEFA Europa Conference League,World,2026-07-15T14:30:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,Vllaznia Shkodër,33.0,67.0,1.73,3.70,4.00,1.77,1.95,prediction_winner=Vllaznia Shkodër | pred_total_home_away=33.0/67.0 | 1x2=1.73/3.70/4.00 | ou2.5=1.77/1.95,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-07-17,2026-07-17T10:27:57+01:00,1554375,Atert Bissen,KI Klaksvik,UEFA Champions League,World,2026-07-15T18:15:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,KI Klaksvik,33.0,67.0,2.14,3.50,2.96,1.57,2.30,prediction_winner=KI Klaksvik | pred_total_home_away=33.0/67.0 | 1x2=2.14/3.50/2.96 | ou2.5=1.57/2.30,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
2026-07-17,2026-07-17T10:27:57+01:00,1554388,Universitatea Craiova,ML Vitebsk,UEFA Champions League,World,2026-07-15T17:30:00+00:00,FT,SCORING_ALLOWED_WITH_NORMAL_GATES,API_ENRICHED_SCORING_READY_PENDING_GATES,YES,YES,YES,Universitatea Craiova,80.0,20.0,1.27,5.00,9.60,1.55,2.35,prediction_winner=Universitatea Craiova | pred_total_home_away=80.0/20.0 | 1x2=1.27/5.00/9.60 | ou2.5=1.55/2.35,100,HIGH_SIGNAL_REVIEW,PROMOTION_INPUT_READY_REVIEW_ONLY,Candidate can be reviewed by normal scoring/promotion gates; no pick permission created.,REVIEW_ONLY_PROMOTION_INPUT,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_INPUT_BRIDGE_V1_NO_AUTO_APPLY,NO,NO
