shortlist_bucket,vsigma_priority,market_family_hint,matches
CORE_SHORTLIST,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,1
TOP_CORE,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2
