fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1396528,Estrela,Famalicao,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,94.98,A_ANALIZAR_PRIMERO,
1396527,Benfica,SC Braga,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,94.1,A_ANALIZAR_PRIMERO,
1396530,Rio Ave,Sporting CP,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,92.7,A_ANALIZAR_PRIMERO,
1378220,Napoli,Bologna,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,91.56,A_ANALIZAR_PRIMERO,
1396533,Guimaraes,Casa Pia,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,90.51,A_ANALIZAR_PRIMERO,
1543788,Millwall,Hull City,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,89.9,A_ANALIZAR_PRIMERO,
1391165,Rayo Vallecano,Girona,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,86.13,A_ANALIZAR_PRIMERO,
1396532,Tondela,Moreirense,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,85.28,A_ANALIZAR_PRIMERO,
1396529,GIL Vicente,Arouca,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,84.6,A_ANALIZAR_PRIMERO,
1379327,Tottenham,Leeds,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,83.18,A_ANALIZAR_PRIMERO,
1392187,Huesca,Real Sociedad II,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,79.13,A_ANALIZAR_PRIMERO,
1396531,Santa Clara,Nacional,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,78.67,A_ANALIZAR_PRIMERO,
