summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,109,0,0,0,0,89.5831,,14.844,5.0183,0.0,9.8257
by_final_execution_bucket,WATCH,,,,,109,0,0,0,0,89.5831,,14.844,5.0183,0.0,9.8257
by_bucket_and_governance_status,WATCH,ANNOTATED_NON_ACTIONABLE_RULE_MATCH,,,,108,0,0,0,0,89.7725,,14.9815,5.0648,0.0,9.9167
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,69.13,,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,109,0,0,0,0,89.5831,,14.844,5.0183,0.0,9.8257
by_bucket_and_execution_verdict,WATCH,,,CORE_SHORTLIST,,3,0,0,0,0,102.72,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,WATCH,,,TOP_CORE,,2,0,0,0,0,103.7,,17.0,7.0,0.0,10.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,104,0,0,0,0,88.9327,,14.7404,4.9231,0.0,9.8173
by_bucket_and_best_evidence_tier,WATCH,,,,GENERIC_BROAD,19,0,0,0,0,84.5037,,9.5263,0.0,0.0,9.5263
by_bucket_and_best_evidence_tier,WATCH,,,,PREMIUM_EVIDENCE,89,0,0,0,0,90.8973,,16.1461,6.1461,0.0,10.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,69.13,,0.0,0.0,0.0,0.0
