summary_scope,final_execution_bucket,production_governance_status,final_recommendation,execution_verdict,production_governance_best_evidence_tier,rows_total,base_actionable_rows,final_actionable_rows,bet_rows,lean_play_rows,avg_selection_score,avg_primary_edge,avg_production_governance_rule_count,avg_production_governance_premium_rule_count,avg_production_governance_standard_rule_count,avg_production_governance_generic_rule_count
overall,,,,,,15,14,8,8,0,91.0493,0.176743,10.6,6.3333,4.2667,0.0
by_final_execution_bucket,APPROVED_PREMIUM,,,,,8,8,8,8,0,93.2538,0.204244,16.75,10.25,6.5,0.0
by_final_execution_bucket,DOWNGRADED,,,,,6,6,0,0,0,90.0417,0.140076,4.1667,2.1667,2.0,0.0
by_final_execution_bucket,WATCH,,,,,1,0,0,0,0,79.46,,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,APPROVED_PREMIUM,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,8,8,8,8,0,93.2538,0.204244,16.75,10.25,6.5,0.0
by_bucket_and_governance_status,DOWNGRADED,APPROVED_BY_PREMIUM_PROMOTED_RULE,,,,1,1,0,0,0,97.7,0.505121,25.0,13.0,12.0,0.0
by_bucket_and_governance_status,DOWNGRADED,DOWNGRADED_NO_PROMOTED_RULE_MATCH,,,,5,5,0,0,0,88.51,0.067067,0.0,0.0,0.0,0.0
by_bucket_and_governance_status,WATCH,NON_ACTIONABLE_NO_PROMOTED_RULE_MATCH,,,,1,0,0,0,0,79.46,,0.0,0.0,0.0,0.0
by_bucket_and_final_recommendation,APPROVED_PREMIUM,,BET,,,8,8,8,8,0,93.2538,0.204244,16.75,10.25,6.5,0.0
by_bucket_and_final_recommendation,DOWNGRADED,,WATCH,,,6,6,0,0,0,90.0417,0.140076,4.1667,2.1667,2.0,0.0
by_bucket_and_final_recommendation,WATCH,,MODEL_ONLY,,,1,0,0,0,0,79.46,,0.0,0.0,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,CORE_SHORTLIST,,1,1,1,1,0,97.18,0.384264,25.0,13.0,12.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,TOP_CORE,,2,2,2,2,0,103.35,0.137236,7.5,7.5,0.0,0.0
by_bucket_and_execution_verdict,APPROVED_PREMIUM,,,WATCH,,5,5,5,5,0,88.43,0.195043,18.8,10.8,8.0,0.0
by_bucket_and_execution_verdict,DOWNGRADED,,,WATCH,,6,6,0,0,0,90.0417,0.140076,4.1667,2.1667,2.0,0.0
by_bucket_and_execution_verdict,WATCH,,,WATCH,,1,0,0,0,0,79.46,,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,APPROVED_PREMIUM,,,,PREMIUM_EVIDENCE,8,8,8,8,0,93.2538,0.204244,16.75,10.25,6.5,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,PREMIUM_EVIDENCE,1,1,0,0,0,97.7,0.505121,25.0,13.0,12.0,0.0
by_bucket_and_best_evidence_tier,DOWNGRADED,,,,,5,5,0,0,0,88.51,0.067067,0.0,0.0,0.0,0.0
by_bucket_and_best_evidence_tier,WATCH,,,,,1,0,0,0,0,79.46,,0.0,0.0,0.0,0.0
