mode,segment,rows,settled_rows,wins,losses,hit_rate,profit_units,roi_percent,brier_score,market_mix,failure_mode_mix,price_guard_input_rows,price_guard_accepted_rows,price_guard_rejected_rows,price_ok_rows,price_thin_secondary_rows,price_prelock_required_rows,price_drift_penalized_rows
BASELINE_OFFICIAL,OVERALL,9,9,7,2,77.777778,2.03,22.555556,0.16861,OVER_1_5:6; OVER_2_5:2; AWAY_WIN:1,FAILURE_MODE_LOW_CONVERSION:8; FAILURE_MODE_DRAW_LIVE:1,,,,,,,
SHADOW_CANDIDATE_V2,OVERALL,8,8,6,2,75.0,1.67,20.875,0.183962,OVER_1_5:5; OVER_2_5:2; AWAY_WIN:1,FAILURE_MODE_LOW_CONVERSION:7; FAILURE_MODE_DRAW_LIVE:1,,,,,,,
SHADOW_CANDIDATE_V7_PRICE_DISCIPLINE_CLV_DRIFT_GUARD,OVERALL,3,3,3,0,100.0,2.42,80.666667,0.033831,OVER_2_5:2; AWAY_WIN:1,FAILURE_MODE_LOW_CONVERSION:2; FAILURE_MODE_DRAW_LIVE:1,22.0,12.0,10.0,12.0,2.0,7.0,0.0
BASELINE_OFFICIAL,OVER_1_5_LOW_CONVERSION,6,6,4,2,66.666667,-0.39,-6.5,0.242223,OVER_1_5:6,FAILURE_MODE_LOW_CONVERSION:6,,,,,,,
BASELINE_OFFICIAL,OVER_2_5_LOW_CONVERSION,2,2,2,0,100.0,1.42,71.0,0.027854,OVER_2_5:2,FAILURE_MODE_LOW_CONVERSION:2,,,,,,,
BASELINE_OFFICIAL,BTTS_YES_BTTS_BREAK,0,0,0,0,,0.0,,,,,,,,,,,
BASELINE_OFFICIAL,WIN_DRAW_LIVE,1,1,1,0,100.0,1.0,100.0,0.008441,AWAY_WIN:1,FAILURE_MODE_DRAW_LIVE:1,,,,,,,
SHADOW_CANDIDATE_V2,OVER_1_5_LOW_CONVERSION,5,5,3,2,60.0,-0.75,-15.0,0.27404,OVER_1_5:5,FAILURE_MODE_LOW_CONVERSION:5,,,,,,,
SHADOW_CANDIDATE_V2,OVER_2_5_LOW_CONVERSION,2,2,2,0,100.0,1.42,71.0,0.042937,OVER_2_5:2,FAILURE_MODE_LOW_CONVERSION:2,,,,,,,
SHADOW_CANDIDATE_V2,BTTS_YES_BTTS_BREAK,0,0,0,0,,0.0,,,,,,,,,,,
SHADOW_CANDIDATE_V2,WIN_DRAW_LIVE,1,1,1,0,100.0,1.0,100.0,0.015621,AWAY_WIN:1,FAILURE_MODE_DRAW_LIVE:1,,,,,,,
SHADOW_CANDIDATE_V7_PRICE_DISCIPLINE_CLV_DRIFT_GUARD,OVER_1_5_LOW_CONVERSION,0,0,0,0,,0.0,,,,,,,,,,,
SHADOW_CANDIDATE_V7_PRICE_DISCIPLINE_CLV_DRIFT_GUARD,OVER_2_5_LOW_CONVERSION,2,2,2,0,100.0,1.42,71.0,0.042937,OVER_2_5:2,FAILURE_MODE_LOW_CONVERSION:2,,,,,,,
SHADOW_CANDIDATE_V7_PRICE_DISCIPLINE_CLV_DRIFT_GUARD,BTTS_YES_BTTS_BREAK,0,0,0,0,,0.0,,,,,,,,,,,
SHADOW_CANDIDATE_V7_PRICE_DISCIPLINE_CLV_DRIFT_GUARD,WIN_DRAW_LIVE,1,1,1,0,100.0,1.0,100.0,0.015621,AWAY_WIN:1,FAILURE_MODE_DRAW_LIVE:1,,,,,,,
