target_date,generated_at,fixture_id,home_team,away_team,home_sources,away_sources,home_consensus_players,away_consensus_players,home_avg_agreement,away_avg_agreement,home_weighted_agreement,away_weighted_agreement,home_probable_confidence,away_probable_confidence,accepted_home_sources,accepted_away_sources,rejected_home_sources,rejected_away_sources,probable_lineup_gate,missing_reason,source_registry_guard,source_guard,auto_apply,production_change
2026-07-03,2026-07-03T19:46:19+01:00,1494200,Sirius,Mjallby AIF,1,1,11,11,0.000,0.000,1.000,1.000,LOW_WEIGHTED,LOW_WEIGHTED,sportsmole,sportsmole,,,PROBABLE_XI_CONSENSUS_LOW,none,registry_sources=15; accepted_rows=2; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-07-03/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-07-03/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
2026-07-03,2026-07-03T19:46:19+01:00,1547580,Džiugas Telšiai,Kauno Žalgiris,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=2; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=data/processed/today/2026-07-03/vsigma_probable_lineup_sources.csv;data/processed/governance/vsigma_probable_lineup_sources.csv;data/processed/today/2026-07-03/probable_lineup_sources.csv;data/processed/governance/probable_lineup_sources.csv,NO,NO
