fixture_id,home_team,away_team,tie_state_label,market_family_hint,vsigma_pre_score,vsigma_priority,tie_adjustment_note
1494709,Aalesund,Viking,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,91.36,A_ANALIZAR_PRIMERO,
1494217,IF Brommapojkarna,Hammarby FF,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,91.22,A_ANALIZAR_PRIMERO,
1494223,Sirius,IFK Goteborg,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,90.71,A_ANALIZAR_PRIMERO,
1492304,Flamengo,Sao Paulo,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,87.97,A_ANALIZAR_PRIMERO,
1494711,KFUM Oslo,Molde,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,86.72,A_ANALIZAR_PRIMERO,
1494714,Sandefjord,Bodo/Glimt,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,86.0,A_ANALIZAR_PRIMERO,
1494710,Brann,Valerenga,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,85.87,A_ANALIZAR_PRIMERO,
1492306,Palmeiras,Atletico-MG,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,85.84,A_ANALIZAR_PRIMERO,
1507015,FC Seoul,Ulsan Hyundai FC,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,84.92,A_ANALIZAR_PRIMERO,
1494219,Gais,Halmstad,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,84.76,A_ANALIZAR_PRIMERO,
1492302,RB Bragantino,Coritiba,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,84.5,A_ANALIZAR_PRIMERO,
1555350,BSC Young Boys,FC Sion,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,82.24,A_ANALIZAR_PRIMERO,
1507013,Gwangju FC,Jeju United FC,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,79.98,A_ANALIZAR_PRIMERO,
1492307,Remo,Vitoria,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,77.76,A_ANALIZAR_PRIMERO,
1507012,FC Anyang,Gangwon FC,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,77.08,A_ANALIZAR_PRIMERO,
1494715,Sarpsborg 08 FF,Ham-Kam,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,77.06,A_ANALIZAR_PRIMERO,
1492303,Cruzeiro,Botafogo,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,76.5,A_ANALIZAR_PRIMERO,
1507014,Incheon United,Bucheon FC 1995,,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,75.48,A_ANALIZAR_PRIMERO,
1492301,Bahia,Corinthians,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,75.1,A_ANALIZAR_PRIMERO,
1548979,FC Copenhagen,Lyngby,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,74.09,A_ANALIZAR_PRIMERO,
1548976,Sonderjyske,FC Midtjylland,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,72.0,A_ANALIZAR_PRIMERO,
1494222,Malmo FF,IF Elfsborg,,OVER_OR_BTTS_CHECK,71.74,A_ANALIZAR_PRIMERO,
1555351,FC Lugano,FC Vaduz,,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,70.9,A_ANALIZAR_PRIMERO,
1555352,FC ST. Gallen,FC Zurich,,OVER_OR_BTTS_CHECK,70.1,A_ANALIZAR_PRIMERO,
1492305,Gremio,Fluminense,,OVER_OR_BTTS_CHECK,68.72,A_ANALIZAR_PRIMERO,
1548978,AC Horsens,FC Nordsjaelland,,OVER_OR_BTTS_CHECK,65.76,B_ANALIZAR,
1547595,TransINVEST Vilnius,Džiugas Telšiai,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520790,America Mineiro,Goias,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520793,Criciuma,Nautico Recife,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520796,Londrina,Novorizontino,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1520798,São Bernardo,Ceara,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1526896,Brusque,Ituano,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1526902,Caxias,Botafogo PB,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1526904,Ypiranga-RS,Barra,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1551515,Dukla Banská Bystrica,Slovan Bratislava,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1551517,Ružomberok,Dunajska Streda,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1551520,Žilina,FK Košice,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1495744,HJK Helsinki,Turku PS,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1495742,Ilves,Lahti,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
1495743,Inter Turku,Gnistan,,UNDER_OR_TEAM_TOTAL_UNDER_CHECK,21.0,NO_DATA_BLOCKED,
