market_primary,n_total,n_settled,wins,losses,pushes,win_rate_no_push,roi_units,avg_primary_edge,report_type,edge_floor_band,execution_verdict
AWAY_WIN,4.0,4.0,1.0,3.0,0.0,0.25,-2.0,0.3166,by_market_primary,,
BTTS_YES,2.0,2.0,2.0,0.0,0.0,1.0,1.25,0.1719,by_market_primary,,
HOME_DNB,1.0,1.0,0.0,0.0,1.0,,0.0,,by_market_primary,,
HOME_WIN,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.1765,by_market_primary,,
OVER_1_5,5.0,5.0,4.0,1.0,0.0,0.8,0.44,0.1039,by_market_primary,,
OVER_2_5,9.0,9.0,7.0,2.0,0.0,0.7778,2.17,0.1537,by_market_primary,,
UNDER_3_5,4.0,4.0,4.0,0.0,0.0,1.0,1.97,0.0315,by_market_primary,,
,1.0,1.0,1.0,0.0,0.0,1.0,0.21,-0.0089,by_edge_floor_band,NEGATIVE,
,1.0,1.0,0.0,0.0,1.0,,0.0,,by_edge_floor_band,NO_ODDS,
,2.0,2.0,2.0,0.0,0.0,1.0,0.83,0.0322,by_edge_floor_band,PLAYABLE,
,22.0,22.0,15.0,7.0,0.0,0.6818,1.79,0.1709,by_edge_floor_band,STRONG,
,1.0,1.0,1.0,0.0,0.0,1.0,0.72,0.1947,by_execution_verdict,,CORE_SHORTLIST
,1.0,1.0,1.0,0.0,0.0,1.0,0.21,-0.0089,by_execution_verdict,,NO_BET
,2.0,2.0,0.0,2.0,0.0,0.0,-2.0,0.163,by_execution_verdict,,TOP_CORE
,22.0,22.0,16.0,5.0,1.0,0.7619,3.9,0.1573,by_execution_verdict,,WATCH
ACTIONABLE_ONLY,12.0,12.0,8.0,4.0,0.0,0.6667,0.9,0.173,actionable_summary,,
