target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-19,2026-06-19T17:22:33+01:00,1532765,Guizhou Zhucheng,Xiamen Feilu,League Two,China,2026-06-19T11:30:00+00:00,FT,97,HIGH_SIGNAL_REVIEW,prediction_winner=Guizhou Zhucheng | pred_total_home_away=64.3/35.8 | 1x2=1.64/3.30/4.75 | ou2.5=1.90/1.73,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1534769,Shakhter Karagandy,Jaiyq,1. Division,Kazakhstan,2026-06-19T13:00:00+00:00,FT,58,MEDIUM_SIGNAL_REVIEW,prediction_winner=Shakhter Karagandy | pred_total_home_away=61.3/38.7,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550055,Al Karama,Shorta,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Al Karama | pred_total_home_away=75.3/24.7,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550056,Al Shouleh,Tishreen,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tishreen | pred_total_home_away=24.8/75.3,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550057,Al Wahda,Al Ittihad,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Al Ittihad | pred_total_home_away=35.0/65.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550058,Horriya,Damascus Al-Ahli,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,68,MEDIUM_SIGNAL_REVIEW,prediction_winner=Damascus Al-Ahli | pred_total_home_away=35.6/64.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550059,Hottin,Khan Shaykhun SC,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Hottin | pred_total_home_away=63.5/36.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1550060,Jabala,Wathba,Premier League,Syria,2026-06-19T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Wathba | pred_total_home_away=25.8/74.2,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1525899,Naftan,Baranovichi,Premier League,Belarus,2026-06-19T15:00:00+00:00,2H,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Baranovichi | pred_total_home_away=33.4/66.6,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1529745,Babrungas,Be1 NFA,1 Lyga,Lithuania,2026-06-19T15:00:00+00:00,2H,78,HIGH_SIGNAL_REVIEW,prediction_winner=Babrungas | pred_total_home_away=57.8/42.2 | 1x2=1.95/3.40/3.20 | ou2.5=1.65/2.00,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1553788,Al Fahaheel,Kazma,Premier League,Kuwait,2026-06-19T16:05:00+00:00,1H,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Kazma | pred_total_home_away=44.8/55.2 | 1x2=3.85/3.55/1.82 | ou2.5=1.80/1.95,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1529747,Garliava,Transinvest 2,1 Lyga,Lithuania,2026-06-19T16:30:00+00:00,NS,90,HIGH_SIGNAL_REVIEW,prediction_winner=Garliava | pred_total_home_away=72.8/27.5 | 1x2=1.25/5.00/7.80,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1495868,Ranheim,Lyn,1. Division,Norway,2026-06-19T17:00:00+00:00,NS,57,MEDIUM_SIGNAL_REVIEW,prediction_winner=Ranheim | pred_total_home_away=51.0/49.2 | 1x2=1.67/4.10/3.90 | ou2.5=1.36/2.95,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1506488,Vikingur Gota,KI Klaksvik,Meistaradeildin,Faroe-Islands,2026-06-19T17:30:00+00:00,NS,98,HIGH_SIGNAL_REVIEW,prediction_winner=KI Klaksvik | pred_total_home_away=35.6/64.4 | 1x2=4.40/3.60/1.68 | ou2.5=1.85/1.85,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1553787,Al Salmiyah,Al Kuwait,Premier League,Kuwait,2026-06-19T17:45:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=Al Kuwait | pred_total_home_away=27.3/72.7 | 1x2=6.00/4.10/1.47 | ou2.5=1.73/2.05,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T17:22:33+01:00,1543623,Leonico,Jacobina,Baiano - 2,Brazil,2026-06-19T18:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Jacobina | pred_total_home_away=34.0/66.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
