target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,provider,refresh_status,refresh_note,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,result_ready_for_ledger,api_calls_planned,api_calls_executed,auto_apply,production_change
2026-06-19,2026-06-19T12:52:13+01:00,1550058,Horriya,Damascus Al-Ahli,Premier League,Syria,2026-06-19T14:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,23,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1550059,Hottin,Khan Shaykhun SC,Premier League,Syria,2026-06-19T14:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,24,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1550060,Jabala,Wathba,Premier League,Syria,2026-06-19T14:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,25,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1525899,Naftan,Baranovichi,Premier League,Belarus,2026-06-19T15:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,26,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1529745,Babrungas,Be1 NFA,1 Lyga,Lithuania,2026-06-19T15:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,27,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1548697,Levski Sofia,Akademik Svishtov,Friendlies Clubs,World,2026-06-19T15:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,28,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1554471,Liptovský Mikuláš,Baník Lehota p.Vtáčnikom,Friendlies Clubs,World,2026-06-19T15:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,29,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1554473,Grazer AK,Gyori ETO FC,Friendlies Clubs,World,2026-06-19T15:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,30,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1496997,Hinna,Brodd,3. Division - Girone 4,Norway,2026-06-19T16:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,31,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553788,Al Fahaheel,Kazma,Premier League,Kuwait,2026-06-19T16:05:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,32,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1529747,Garliava,Transinvest 2,1 Lyga,Lithuania,2026-06-19T16:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,33,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1495868,Ranheim,Lyn,1. Division,Norway,2026-06-19T17:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,34,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1506488,Vikingur Gota,KI Klaksvik,Meistaradeildin,Faroe-Islands,2026-06-19T17:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,35,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553787,Al Salmiyah,Al Kuwait,Premier League,Kuwait,2026-06-19T17:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,36,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1543623,Leonico,Jacobina,Baiano - 2,Brazil,2026-06-19T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,37,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553049,ADT,Alianza Universidad,Copa De La Liga,Peru,2026-06-19T18:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,38,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1549937,Estrella de Berisso,Defensores Glew,Torneo Promocional Amateur,Argentina,2026-06-19T18:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,39,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492717,Drogheda United,Shelbourne,Premier Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,40,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492718,Galway United,Derry City,Premier Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,41,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492719,St Patrick's Athl.,Sligo Rovers,Premier Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,42,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492720,Waterford,Shamrock Rovers,Premier Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,43,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492915,Athlone Town,Wexford,First Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,44,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492916,Bray Wanderers,Longford Town,First Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,45,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492917,Cobh Ramblers,Finn Harps,First Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,46,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492918,Cork City,Treaty United,First Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,47,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492919,UCD,Kerry,First Division,Ireland,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,48,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553786,Al Arabi,Al Qadsia,Premier League,Kuwait,2026-06-19T18:45:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,49,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1489391,USA,Australia,World Cup,World,2026-06-19T19:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,50,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1492716,Bohemians,Dundalk,Premier Division,Ireland,2026-06-19T19:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,51,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1550673,Sabadell,Zamora,Primera División RFEF - Play Offs,Spain,2026-06-19T19:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,52,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1514209,Njardvik,Leiknir R.,1. Deild,Iceland,2026-06-19T19:15:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,53,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553050,Alianza Atletico,Cesar Vallejo,Copa De La Liga,Peru,2026-06-19T20:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,54,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1553716,Miramar,Sportivo Huracan,Segunda División,Uruguay,2026-06-19T21:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,55,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1545385,Real Potosí,Gualberto Villarroel SJ,Primera División,Bolivia,2026-06-19T21:30:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,PST,Match Postponed,,,,,,,,,,,,NO,58,56,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1489390,Scotland,Morocco,World Cup,World,2026-06-19T22:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,57,NO,NO
2026-06-19,2026-06-19T12:52:13+01:00,1499479,Ituzaingó,Liniers,Primera B Metropolitana,Argentina,2026-06-19T22:00:00+00:00,API-SPORTS_DIRECT,OK,fixture fetched,NS,Not Started,,,,,,,,,,,,NO,58,58,NO,NO
